Data was downloaded on July 6 2026 2:02 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B0070010/UCFRBA_01,3030002,36.27680,-79.64990,"Troublesome Crk at US 29 Bus nr Reidsville","Rockingham","major tributary; nps inputs","C NSW",CPF01,yes

Query Results: 
Stations:B0070010	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B0070010,2000-04-24,00:00:00,Yes,0,17,,6.8,,7.5,,66,,2,<,0,\N,2.2,,4.5,,0,,0,Z,0,Z,0,Z,0.01,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0070010,2000-05-03,00:00:00,Yes,0,18.8,,7.4,,7.8,,63,,11,,0,\N,1.6,,7.5,,0,,0,Z,0,Z,0,Z,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0070010,2000-06-01,00:00:00,Yes,0,22,,6.6,,6.2,,72,,50,,0,\N,2.1,,2,,0,,0,Z,0,Z,0,Z,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0070010,2000-07-05,00:00:00,Yes,0,26.6,,6.7,,4,,79,,100,,0,\N,4.9,,10,,0,,0,Z,0,Z,0,Z,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0070010,2000-08-01,00:00:00,Yes,0,24.7,,6.3,,4.8,,79,,1100,,0,\N,1.9,,9,,0,,0,Z,0.2,,0,Z,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0070010,2000-09-05,00:00:00,Yes,0,24.3,,5.7,,6.3,,73,,140,,0,\N,1.8,,4,,0,,0,Z,0.3,,0,Z,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0070010,2000-10-09,00:00:00,Yes,0,14.5,,6.9,,6,,80,,100,,0,\N,2,,2,,0,,0,Z,0.1,<,0,Z,0.17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0070010,2000-11-17,00:00:00,Yes,0,11.5,,6.2,,6.3,,83,,5200,,0,\N,4.7,,5,,0,,0.18,,0.4,,0.07,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0070010,2000-12-04,00:00:00,Yes,0,5,,7.2,,9.1,,99,,13,,0,\N,3.1,,2,,0,,0.19,,0.8,,0.1,,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0070010,2001-01-16,00:00:00,Yes,0,4.7,,7.4,,10.3,,73,,4,,0,\N,2.9,,2.5,,0,,0.18,,0.8,,0.13,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
