Data was downloaded on July 6 2026 2:02 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B0170000/UCFRBA_03,3030002,36.25140,-79.56470,"Haw Riv at SR 2620 High Rock Rd nr Williamsburg","Rockingham","below Reidsville WWTP","C NSW",CPF01,yes

Query Results: 
Stations:B0170000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B0170000,2000-04-24,00:00:00,Yes,0,16,,7.5,,7,,103,,8,,0,\N,7.4,,5,,0,,0,Z,0,Z,0,Z,0.05,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0170000,2000-05-03,00:00:00,Yes,0,17.4,,7.1,,7,,87,,20,,0,\N,7.7,,9.5,,0,,0,Z,0,Z,0,Z,0.07,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0170000,2000-05-17,00:00:00,Yes,0,17.9,,7.1,,6.6,,146,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0170000,2000-06-01,00:00:00,Yes,0,18.4,,7.2,,6.8,,139,,42,,0,\N,11,,5,,0,,0,Z,0,Z,0,Z,0.17,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0170000,2000-06-16,00:00:00,Yes,0,23.2,,6.9,,5.6,,201,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0170000,2000-07-05,00:00:00,Yes,0,23.8,,7.3,,5.7,,167,,870,,0,\N,12,,5,,0,,0,Z,0,Z,0,Z,0.18,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0170000,2000-07-18,00:00:00,Yes,0,23.1,,6.9,,5.6,,226,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0170000,2000-08-01,00:00:00,Yes,0,23.4,,7.1,,5.7,,228,,2800,,0,\N,18,,20,,0,,0,Z,0.4,,0,Z,0.12,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0170000,2000-08-17,00:00:00,Yes,0,22.6,,7.4,,5.9,,235,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0170000,2000-09-05,00:00:00,Yes,0,22.1,,7,,5.5,,82,,480,,0,\N,25,,31,,0,,0,Z,0.5,,0,Z,0.02,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0170000,2000-09-18,00:00:00,Yes,0,16.7,,7.2,,5.1,,65,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0170000,2000-10-09,00:00:00,Yes,0,11.9,,7.1,,8,,189,,100,,0,\N,6.4,,5,,0,,0,Z,0.1,,0,Z,0.23,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0170000,2000-11-17,00:00:00,Yes,0,9.4,,6.9,,8.7,,184,,46,,0,\N,6.6,,5,,0,,0.04,,0.3,,0.1,,0.07,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0170000,2000-12-04,00:00:00,Yes,0,3.4,,7.5,,11,,176,,74,,0,\N,7.3,,2,,0,,0.01,<,0.2,,0.28,,0.05,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0170000,2001-01-16,00:00:00,Yes,0,5.5,,7.3,,10.1,,155,,62,,0,\N,8.7,,2.5,,0,,0.01,<,1.1,,0.86,,0.11,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0170000,2001-02-14,00:00:00,Yes,0,8,,7.1,,9.7,,157,,62,,0,\N,10.7,,5,,0,,0.05,,0.5,,0.81,,0.05,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0170000,2001-03-13,00:00:00,Yes,0,12,,7.3,,9,,149,,72,,0,\N,5.7,,2,,0,,0.01,,0.5,,0.3,,0.02,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0170000,2001-04-04,00:00:00,Yes,0,11.4,,7.1,,7.6,,75,,400,,0,\N,34,,4.5,,0,,0.05,,0.5,,0.24,,0.03,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0170000,2001-04-23,00:00:00,Yes,0,17.6,,6.9,,6.6,,139,,0,,0,\N,0,,0,,0,,0.01,,0.4,,0.16,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0170000,2001-05-09,00:00:00,Yes,0,17.2,,7.4,,6.9,,199,,46,,0,\N,6.9,,2.5,,0,,0.07,,0.4,,0.36,,0.01,<,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,,0,
B0170000,2001-05-28,00:00:00,Yes,0,19.1,,6.3,,6.5,,88,,0,,0,\N,0,,0,,0,,0.15,,0.5,,0.15,,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0170000,2001-06-13,00:00:00,Yes,0,22.2,,6.9,,5.3,,197,,48,,0,\N,6.4,,3.9,,0,,0.1,,0.7,,0.34,,0.22,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0170000,2001-06-25,00:00:00,Yes,0,21.9,,7.4,,6.2,,178,,0,,0,\N,0,,0,,0,,0.04,,0.7,,0.33,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0170000,2001-07-02,00:00:00,Yes,0,24.1,,7.1,,5.2,,205,,182,,0,\N,6.3,,1,<,0,,0.04,,0.5,,0.35,,0.09,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0170000,2001-07-09,00:00:00,Yes,0,22.6,,7,,6.2,,159,,0,,0,\N,0,,0,,0,,0.05,,0.5,,0.26,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0170000,2001-08-01,00:00:00,Yes,0,21.5,,7.8,,7,,133,,120,,0,\N,8.9,,9.5,,0,,0.05,,0.4,,0.2,,0.08,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0170000,2001-08-16,00:00:00,Yes,0,23.5,,7.3,,6.4,,167,,0,,0,\N,0,,0,,0,,0.04,,0.5,,0.31,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0170000,2001-09-03,00:00:00,Yes,0,22.2,,7.1,,6.7,,211,,92,,0,\N,9.1,,6,,0,,0.05,,0.5,,0.34,,0.28,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0170000,2001-09-17,00:00:00,Yes,0,16.5,,7.3,,6.7,,387,,0,,0,\N,0,,0,,0,,0.19,,0.7,,0.82,,0.27,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0170000,2001-10-01,00:00:00,Yes,0,13.5,,7.3,,7.1,,367,,32,,0,\N,4,,2,,0,,0.02,,0.4,,1.88,,0.38,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0170000,2001-10-15,00:00:00,Yes,0,16.8,,7.1,,5,,363,,0,,0,\N,0,,0,,0,,0.04,,0.5,,0.38,,0.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0170000,2001-11-01,00:00:00,Yes,0,11.2,,7,,7.2,,403,,40,,0,\N,2.3,,1,<,0,,0.11,,0.5,,0.45,,0.13,,0.5,<,10,J2,4.6,,0,Z,0.5,<,16,,80,,620,,0,,0.2,<,5,<,0,
B0170000,2001-12-13,00:00:00,Yes,0,10.4,,6.7,,7.9,,146,,145,,0,\N,8.1,,4.5,,0,,0.05,,0.4,,0.59,,0.04,,0.5,<,20,<,3.8,V,5,<,0.6,,10,< V,205,,2000,,0,,0.2,<,5,<,0,
B0170000,2002-01-02,00:00:00,Yes,0,1.3,,7.4,,10,,85,,140,,0,\N,6.8,,3,,0,,0.07,,0.3,,0.87,,0.09,,0.5,<,20,<,3.3,V,5,<,2,<,10,<,135,,1520,,0,,0.2,<,10,<,0,
B0170000,2002-02-04,00:00:00,Yes,0,6.7,,7,,8.3,,233,,106,,0,\N,7.3,,3.7,,0,,0.03,,0.4,,0.23,,0.07,,0.5,<,20,<,4.5,V,5,<,0.8,,32,,249,,1310,,0,,0.2,<,10,<,0,
B0170000,2002-03-04,00:00:00,Yes,0,5,,6.9,,8.2,,136,,99,,0,\N,14,,11.3,,0,,0.06,,0.6,,0.47,,0.07,,0.5,<,20,<,3.6,V,5,<,2,<,10,<,400,,1600,,0,,0.2,<,5,<,0,
B0170000,2002-04-01,00:00:00,Yes,0,13.5,,7,,7,,157,,17,,0,\N,5.1,,5.5,,0,,0.05,,0.5,,0.12,,0.08,,0.1,<,20,<,10,<,5,<,5,<,16,,150,,1300,,0,,0.2,<,5,<,0,
B0170000,2002-05-01,00:00:00,Yes,0,17.6,,6.8,,5.9,,300,,20,B1,0,\N,6.9,,2.5,,0,,0.11,,0.6,,0.41,,0.34,,0.5,<,20,<,3.9,,5,<,0.5,<,10,<,100,,1300,,0,,0.2,<,5,<,0,
B0170000,2002-05-20,00:00:00,Yes,0,14.1,,7,,8.8,,229,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0170000,2002-06-03,00:00:00,Yes,0,22.8,,6.6,,5,,314,,12,B1,0,\N,6.5,,2.5,<,0,,0.07,,0.7,,0.38,,0.16,,0.5,<,10,<,2,<,5,<,1.1,,10,,79,,1100,,0,,0.2,<,5,<,0,
B0170000,2002-06-14,00:00:00,Yes,0,24.3,,7.2,,4.6,,621,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0170000,2002-07-01,00:00:00,Yes,0,25.2,,7.2,,5.4,,414,,185,,0,\N,6.4,,1.3,,0,,0.07,,0.8,,1.73,,0.37,,0.5,<,10,<,5,,7,,2,<,13,,160,,760,,0,,0.2,<,5,<,0,
B0170000,2002-07-12,00:00:00,Yes,0,22.3,,7.3,,5.1,,866,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0170000,2002-08-05,00:00:00,Yes,0,25.4,,7,,5.2,,467,,54,,0,\N,5.7,,4,,0,,0.05,,0.7,,0.63,,0.26,,0.5,<,10,<,4.4,,11,,0.8,,13,,79,,970,,0,,0.2,<,5,<,0,
B0170000,2002-08-19,00:00:00,Yes,0,25.8,,7.5,,4.4,,935,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0170000,2002-09-02,13:29:00,Yes,0.1,20,,6.2,,6,,124,,760,,0,\N,80,,45,,0,,0.1,,0.8,,0.76,,0.17,,0.5,U,10,U,6,,6,,2.3,,13,,1400,,3000,,0,,0.2,U,5,U,0,
B0170000,2002-09-17,00:55:00,Yes,0.1,22,,6.8,,6.8,,238,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0170000,2002-10-01,10:05:00,Yes,0.1,20,,7.2,,6.8,,233,,240,,0,\N,7.2,,2,,0,,0.03,,0.6,,0.45,,0.2,,0.5,U,5,U,3.7,,5.5,,2,U,10,U,97,,2300,,0,,0.2,U,5,U,0,
B0170000,2002-11-04,00:10:00,Yes,0.1,11,,6.7,,9.3,,123,,96,,0,\N,8.2,,2.2,,0,,0.01,,0.4,J2,0.3,,0.05,,0.5,U,5,U,2,U,5,U,2,U,10,U,130,,1200,,0,,0.2,U,5,U,0,
B0170000,2002-12-16,10:19:00,Yes,0.1,4.2,,6.9,,11,,75,,180,,0,\N,29,,17,,0,,0.01,,0.3,,0.3,,0.07,,0.5,U,5,U,5.8,,5,U,2,U,10,U,690,,1800,,0,,0.2,U,5,U,0,
B0170000,2003-01-06,09:37:00,Yes,0.1,5.7,,7.2,,10,,80,,460,,0,\N,19,,9.1,,0,,0.04,,0.3,,0.2,,0.02,,0.5,U,5,U,7.2,,5,U,2,U,10,U,520,,1600,,0,,0.2,U,5,U,0,
B0170000,2003-02-07,10:18:00,Yes,0.1,3.3,,6.6,,13,,95,,46,,0,\N,23,,14,,0,,0.03,,0.5,U,0.3,,0.07,,0.5,U,5,U,4.6,,5,U,2,U,10,U,1200,,1600,,0,,0.2,U,5,U,0,
B0170000,2003-03-10,11:11:00,Yes,0.1,11,,7.1,,8.6,,80,,39,B1,0,\N,22,,10,,0,,0.03,,0.4,,0.2,,0.07,,0.5,U,5,U,4.9,,5,U,2,U,10,U,600,,1600,,62,,0.2,U,5,U,0,
B0170000,2003-04-11,10:22:00,Yes,0.1,8.8,,6.6,,9.3,,58,,6400,,0,\N,130,,49,,0,,0.21,,0.8,,0.2,,0.16,,0.5,U,5,U,8.3,,5,U,7.7,,43,,2800,,3800,,120,,0.2,U,5,U,0,
B0170000,2003-05-05,10:46:00,Yes,0.1,16,,6.5,,7.5,,105,,58,,0,\N,11,,5,,0,,0.04,,0.5,,0.26,,0.05,,0.5,U,5,U,5.9,,5,U,2.1,,10,U,240,,2200,,240,,0.2,U,5,U,0,
B0170000,2003-05-21,11:09:00,Yes,0.1,18,,6.5,,6.8,,100,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0170000,2003-06-02,11:03:00,Yes,0.1,18,,6.6,,6.6,,89,,68,,0,\N,21,,6.7,,0,,0.05,,0.4,,0.26,,0.07,,0.5,U,5,U,7.9,,5,U,2,U,10,U,4700,,2600,,210,,0.2,U,5,U,0,
B0170000,2003-06-12,10:41:00,Yes,0.1,24,,6.5,,5.6,,88,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0170000,2003-07-08,10:57:00,Yes,0.1,25,,6.4,,5.4,,71,,4200,,0,\N,40,,18.4,,0,,0.08,,0.6,,0.21,,0.09,,0.5,U,5,U,5.9,,5,U,2.3,,10,U,900,,3000,,0,,0.2,U,5,U,0,
B0170000,2003-07-28,10:22:00,Yes,0.1,25,,6.7,,6.3,,129,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0170000,2003-08-04,09:14:00,Yes,0.1,23,,6.9,,6.1,,102,,12000,B5,0,\N,95,,66,,0,,0.05,,0.6,,0.24,,0.13,,0.5,U,5,U,5.2,,5,U,4.2,,11,,2400,,4800,,0,,0.2,U,5,U,0,
B0170000,2003-08-18,10:22:00,Yes,0.1,24,,6.5,,5.5,,88,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
