Data was downloaded on July 6 2026 2:02 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B0400000/UCFRBA_04,3030002,36.17780,-79.61770,"Reedy Fork at SR 2719 High Rock Rd nr Monticello","Guilford","model verification","C NSW",CPF02,yes

Query Results: 
Stations:B0400000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B0400000,2002-02-04,00:00:00,Yes,0,8.9,,7.1,,8.9,,120,,62,,0,\N,13,,6,,0,,0.06,,0.3,,0.3,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0400000,2002-03-04,00:00:00,Yes,0,7.5,,7.1,,8.7,,103,,480,B4,0,\N,37,,14,,0,,0.08,,0.6,,0.28,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0400000,2002-04-01,00:00:00,Yes,0,15.1,,6.9,,6.9,,110,,64,,0,\N,7.5,,5.2,,0,,0.06,,0.4,,0.15,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0400000,2002-05-01,00:00:00,Yes,0,19.7,,6.9,,6.8,,125,,6,B1,0,\N,2.8,,7.2,,0,,0.09,,0.3,,0.25,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0400000,2002-06-03,00:00:00,Yes,0,23.5,,6.4,,6.5,,129,,7,B1,0,\N,2.1,,3.2,,0,,0.07,,0.4,,0.22,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0400000,2002-07-01,00:00:00,Yes,0,26.3,,7.1,,6.7,,131,,18,,0,\N,2.2,,1.3,,0,,0.06,,0.4,,0.1,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0400000,2002-08-05,00:00:00,Yes,0,27.2,,6.6,,5.2,,112,,83,,0,\N,15,,3.8,,0,,0.09,,0.5,,0.45,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0400000,2002-09-02,16:03:00,Yes,0.1,21,,7.1,,7.6,,78,,1180,,0,\N,59,,30,,0,,0.1,,0.6,,0.39,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0400000,2002-10-01,00:18:00,Yes,0.1,21,,6.9,,6.8,,112,,135,,0,\N,9,,2.9,,0,,0.04,,0.4,,0.35,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0400000,2002-11-04,15:20:00,Yes,0.1,12,,6.6,,9.4,,101,,800,,0,\N,16,,3.3,,0,,0.01,,0.3,J2,0.5,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0400000,2002-12-16,14:11:00,Yes,0.1,6,,7.2,,12,,87,,400,,0,\N,9,,7.9,,0,,0.12,,0.4,,0.3,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
