Data was downloaded on July 6 2026 2:02 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B0480050/UCFRBA_05,3030002,36.10740,-79.75020,"N Buffalo Crk at N Buffalo Crk WWTP Influent Conduit Pier at Greensboro","Guilford","ups N. Buffalo WWTP","C NSW",CPF02,yes

Query Results: 
Stations:B0480050	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B0480050,2000-04-24,00:00:00,Yes,0,17,,7.7,,7.8,,488,,110,,0,\N,2.9,,3,,0,,0,Z,0,Z,0,Z,0.34,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0480050,2000-05-03,00:00:00,Yes,0,18.7,,7.7,,6.8,,486,,270,,0,\N,3.2,,2.7,,0,,0,Z,0,Z,0,Z,0.88,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0480050,2000-05-17,00:00:00,Yes,0,18.4,,7.2,,6.2,,203,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0480050,2000-06-01,00:00:00,Yes,0,20.7,,7.6,,5.2,,1043,,330,,0,\N,1.4,,1,<,0,,0,Z,0,Z,0,Z,0.94,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0480050,2000-06-16,00:00:00,Yes,0,24.1,,7,,5.4,,299,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0480050,2000-07-05,00:00:00,Yes,0,25.4,,7.3,,4.2,,464,,1600,,0,\N,4.4,,1,<,0,,0,Z,0,Z,0,Z,0.14,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0480050,2000-07-18,00:00:00,Yes,0,25.2,,7.3,,4.3,,936,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0480050,2000-08-01,00:00:00,Yes,0,24,,6.6,,6.2,,168,,6000,>,0,\N,4.8,,19,,0,,0,Z,0.5,,0,Z,0.21,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0480050,2000-08-17,00:00:00,Yes,0,24.4,,7.5,,5.5,,681,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0480050,2000-09-05,00:00:00,Yes,0,21.9,,7.2,,6.1,,345,,290,,0,\N,5.6,,7,,0,,0,Z,0.8,,0,Z,0.16,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0480050,2000-09-18,00:00:00,Yes,0,17.9,,7.2,,4.7,,627,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0480050,2000-10-09,00:00:00,Yes,0,12.4,,7.3,,8.1,,448,,850,,0,\N,2.4,,3,,0,,0,Z,1.5,,0,Z,0.19,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0480050,2000-11-17,00:00:00,Yes,0,10.9,,7.8,,8,,1267,,12000,>,0,\N,5.7,,12,,0,,0.28,,1.3,,0.26,,0.98,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0480050,2000-12-04,00:00:00,Yes,0,4.5,,7.7,,10.1,,574,,12000,>,0,\N,8.8,,5,,0,,0.05,,0.8,,0.32,,0.91,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0480050,2001-01-16,00:00:00,Yes,0,7.8,,7.5,,8.7,,323,,175,,0,\N,5.1,,4,,0,,0.14,,1.2,,0.23,,0.13,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0480050,2001-02-14,00:00:00,Yes,0,9.6,,7.4,,8.8,,360,,480,,0,\N,13.4,,4.7,,0,,0.47,,1.4,,0.73,,0.36,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0480050,2001-03-13,00:00:00,Yes,0,14,,7.4,,7.2,,257,,520,,0,\N,11,,7,,0,,0.21,,0.9,,0.7,,0.25,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0480050,2001-04-04,00:00:00,Yes,0,11.4,,7.4,,8.2,,452,,280,,0,\N,17,,9,,0,,0.1,,1.1,,0.69,,0.31,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0480050,2001-04-23,00:00:00,Yes,0,19.5,,7.5,,6,,714,,0,,0,\N,0,,0,,0,,0.11,,1.5,,0.25,,0.45,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0480050,2001-05-09,00:00:00,Yes,0,18.7,,7.8,,6.3,,1261,,91,,0,\N,2.7,,5,,0,,0.15,,1.1,,0.22,,2.4,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,,0,
B0480050,2001-05-28,00:00:00,Yes,0,19.2,,6.9,,5.8,,377,,0,,0,\N,0,,0,,0,,0.23,,0.8,,0.46,,0.88,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0480050,2001-06-13,00:00:00,Yes,0,23.8,,7.4,,4.6,,1371,,540,,0,\N,2.9,,1.8,,0,,0.34,,1.4,,0.24,,1.46,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0480050,2001-06-25,00:00:00,Yes,0,23.2,,7.5,,5.3,,470,,0,,0,\N,0,,0,,0,,0.12,,0.8,,0.39,,1.93,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0480050,2001-07-02,00:00:00,Yes,0,25.1,,7.2,,5.2,,195,,880,,0,\N,14,,13.1,,0,,0.14,,0.6,,0.37,,0.15,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0480050,2001-07-09,00:00:00,Yes,0,23.9,,7.1,,6.1,,104,,0,,0,\N,0,,0,,0,,0.08,,0.5,,0.34,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0480050,2001-08-01,00:00:00,Yes,0,21.2,,7.3,,7.6,,66,,14800,>,0,\N,31,,38,,0,,0.18,,1,,0.6,,0.17,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0480050,2001-08-16,00:00:00,Yes,0,24.6,,7.4,,5.9,,189,,0,,0,\N,0,,0,,0,,0.07,,0.4,,0.25,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0480050,2001-09-03,00:00:00,Yes,0,22.9,,6.8,,5.8,,124,,327,B1,0,\N,3.5,,1,,0,,0.1,,0.4,,0.44,,0.08,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0480050,2001-09-17,00:00:00,Yes,0,17.3,,7.6,,7.1,,251,,0,,0,\N,0,,0,,0,,0.08,,0.2,,0.15,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0480050,2001-10-01,00:00:00,Yes,0,18.1,,7,,6,,404,,200,,0,\N,1.5,,4,,0,,0.14,,1.2,,18.7,,1.3,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0480050,2001-10-15,00:00:00,Yes,0,17.7,,6.9,,6,,114,,0,,0,\N,0,,0,,0,,0.1,,0.5,,0.83,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0480050,2001-11-01,00:00:00,Yes,0,13.1,,7.2,,7.4,,257,,5,,0,\N,1.8,,1,<,0,,0.04,,0.1,,0.04,,0.04,,0.5,<,10,J2,2.9,,0,Z,0.5,<,10,,50,,360,,0,,0.2,<,5,<,0,
B0480050,2001-12-13,00:00:00,Yes,0,11.5,,6.7,,7.7,,155,,560,,0,\N,7.5,,7,,0,,0.08,,0.3,,0.58,,0.08,,0.5,<,20,<,4.4,V,5,<,1.2,,13,V,229,,780,,0,,0.2,<,5,<,0,
B0480050,2002-01-02,00:00:00,Yes,0,7.8,,7.1,,6.6,,393,,164,B4,0,\N,2.9,,4.5,,0,,2.22,,3.1,,13.2,,0.68,,0.5,<,20,<,10,V,5,<,2,<,42,,116,,304,,0,,0.2,<,10,<,0,
B0480050,2002-02-04,00:00:00,Yes,0,7.2,,7.3,,9.2,,281,,92,,0,\N,4.8,,4.7,,0,,0.03,,0.4,,0.32,,0.07,,0.5,<,20,<,3.9,V,5,<,1.2,,59,,118,,789,,0,,0.2,<,10,<,0,
B0480050,2002-03-04,00:00:00,Yes,0,7.4,,7,,8.2,,142,,255,,0,\N,17,,7.7,,0,,0.06,,0.7,,0.53,,0.09,,0.5,<,20,<,6.1,V,5,<,2.2,,26,,410,,610,,0,,0.2,<,5,<,0,
