Data was downloaded on July 6 2026 2:02 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B0540050/UCFRBA_06,3030002,36.12990,-79.66260,"N Buffalo Crk at SR 2770 Huffine Mill Rd nr McLeansville","Guilford","dns N. Buffalo WWTP","C NSW",CPF02,yes

Query Results: 
Stations:B0540050	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B0540050,2000-04-24,00:00:00,Yes,0,16,,7.4,,7.9,,390,,30,,0,\N,2.5,,1,,0,,0,Z,0,Z,0,Z,0.74,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0540050,2000-05-03,00:00:00,Yes,0,18.2,,7.3,,7,,374,,120,,0,\N,2.9,,2.5,,0,,0,Z,0,Z,0,Z,0.84,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0540050,2000-05-17,00:00:00,Yes,0,19,,7.5,,6.8,,471,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0540050,2000-06-01,00:00:00,Yes,0,20.6,,7.4,,6.3,,515,,540,,0,\N,1.2,,1,<,0,,0,Z,0,Z,0,Z,0.84,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0540050,2000-06-16,00:00:00,Yes,0,24.5,,6.9,,5.7,,164,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0540050,2000-07-05,00:00:00,Yes,0,24,,7.3,,5.5,,401,,5000,,0,\N,6.4,,2,,0,,0,Z,0,Z,0,Z,0.5,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0540050,2000-07-18,00:00:00,Yes,0,24.8,,7.3,,6.4,,601,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0540050,2000-08-01,00:00:00,Yes,0,24.7,,6.7,,5.7,,177,,6000,>,0,\N,6.2,,54,,0,,0,Z,0.7,,0,Z,0.03,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0540050,2000-08-17,00:00:00,Yes,0,24.3,,7.6,,5.1,,171,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0540050,2000-09-05,00:00:00,Yes,0,22.1,,7.3,,6.2,,239,,2300,,0,\N,8.5,,9,,0,,0,Z,0.9,,0,Z,0.18,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0540050,2000-09-18,00:00:00,Yes,0,18.4,,7.1,,5.4,,419,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0540050,2000-10-09,00:00:00,Yes,0,14.2,,7.3,,7.5,,558,,200,,0,\N,2.5,,12,,0,,0,Z,1.7,,0,Z,0.19,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0540050,2000-11-17,00:00:00,Yes,0,13.6,,7.4,,7.2,,500,,110,,0,\N,2,,7,,0,,0.31,,1.4,,5.29,,1.19,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0540050,2000-12-04,00:00:00,Yes,0,8.1,,7.4,,8,,501,,4800,,0,\N,3.4,,3,,0,,3.3,,5.2,,4.16,,0.72,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0540050,2001-01-16,00:00:00,Yes,0,9.7,,7.5,,8.5,,347,,72,,0,\N,3.6,,1.5,,0,,0.8,,2.1,,3.08,,0.7,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
