Data was downloaded on July 6 2026 2:02 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B0670000/UCFRBA_07,3030002,36.05980,-79.72560,"S Buffalo Crk at SR 3000 McConnell Rd nr Greensboro","Guilford","USGS gage; ups TZ Osborne WWTP","C NSW",CPF02,yes

Query Results: 
Stations:B0670000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B0670000,2000-04-24,00:00:00,Yes,0,16,,7.3,,7.9,,269,,120,,0,\N,5.3,,1,,0,,0,Z,0,Z,0,Z,0.07,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0670000,2000-05-03,00:00:00,Yes,0,17.2,,7.4,,6.9,,228,,510,,0,\N,6.4,,6,,0,,0,Z,0,Z,0,Z,0.07,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0670000,2000-05-17,00:00:00,Yes,0,19.1,,7.2,,6.1,,196,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0670000,2000-06-01,00:00:00,Yes,0,20.7,,7,,6.5,,260,,130,,0,\N,3.3,,1,<,0,,0,Z,0,Z,0,Z,0.05,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0670000,2000-06-16,00:00:00,Yes,0,24.5,,7.1,,5.3,,117,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0670000,2000-07-05,00:00:00,Yes,0,25.4,,7.3,,6.3,,262,,5500,,0,\N,5.7,,3,,0,,0,Z,0,Z,0,Z,0.04,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0670000,2000-07-18,00:00:00,Yes,0,24.7,,7.3,,7.2,,254,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0670000,2000-08-01,00:00:00,Yes,0,24.2,,6.7,,5.7,,105,,6000,>,0,\N,15,,88,,0,,0,Z,0.7,,0,Z,0.01,<,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0670000,2000-08-17,00:00:00,Yes,0,23.1,,7.2,,6.1,,102,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0670000,2000-09-05,00:00:00,Yes,0,21.4,,7,,6.4,,194,,1700,,0,\N,15,,10,,0,,0,Z,0.8,,0,Z,0.14,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0670000,2000-09-18,00:00:00,Yes,0,16.9,,7,,6.1,,222,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0670000,2000-10-09,00:00:00,Yes,0,10.9,,7.5,,10.1,,313,,220,,0,\N,2.5,,4,,0,,0,Z,0.5,,0,Z,0.28,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0670000,2000-11-17,00:00:00,Yes,0,10.8,,7.3,,8.5,,205,,620,,0,\N,28,,11,,0,,0.13,,0.4,,0.37,,0.12,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0670000,2000-12-04,00:00:00,Yes,0,3.4,,7.6,,10.9,,298,,720,,0,\N,8.6,,1,,0,,0.24,,0.7,,0.5,,0.04,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0670000,2001-01-16,00:00:00,Yes,0,7.3,,7.6,,10.5,,277,,33,,0,\N,7.6,,2.7,,0,,0.06,,2.1,,0.31,,0.06,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0670000,2001-02-14,00:00:00,Yes,0,9.2,,7.3,,8.9,,230,,680,,0,\N,23.8,,8.5,,0,,0.17,,0.8,,0.86,,0.05,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0670000,2001-03-13,00:00:00,Yes,0,14,,7.5,,8.4,,246,,460,,0,\N,11,,6,,0,,0.09,,0.5,,0.6,,0.06,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0670000,2001-04-04,00:00:00,Yes,0,11,,7.3,,8.3,,195,,660,,0,\N,45,J1,12.5,,0,,0.12,,0.7,,1,,0.09,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0670000,2001-04-23,00:00:00,Yes,0,19.4,,7.5,,7.9,,304,,0,,0,\N,0,,0,,0,,0.04,,0.5,,0.21,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0670000,2001-05-09,00:00:00,Yes,0,19.1,,7.7,,8.5,,314,,200,,0,\N,3.6,,6,,0,,0.03,,0.3,,0.23,,0.04,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,,0,
