Data was downloaded on July 6 2026 2:02 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B0750000/UCFRBA_08,3030002,36.11280,-79.67180,"S Buffalo Crk at SR 2821 Harvest Rd at McLeansville","Guilford","dns TZ Osborne WWTP; DWQ ambient stn","C NSW",CPF02,no

Query Results: 
Stations:B0750000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B0750000,2000-04-24,00:00:00,Yes,0,19,,7.4,,6.8,,443,,130,,0,\N,3.3,,2,,0,,0,Z,0,Z,0,Z,0.22,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0750000,2000-05-03,00:00:00,Yes,0,20.6,,7.5,,6.7,,565,,4600,,0,\N,3.9,,4,,0,,0,Z,0,Z,0,Z,0.2,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0750000,2000-05-17,00:00:00,Yes,0,22.6,,7.6,,5.4,,690,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0750000,2000-06-01,00:00:00,Yes,0,24.2,,7.5,,5.5,,739,,440,,0,\N,1.7,,2,,0,,0,Z,0,Z,0,Z,0.24,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0750000,2000-06-16,00:00:00,Yes,0,25.2,,7.1,,5.4,,263,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0750000,2000-07-05,00:00:00,Yes,0,26.6,,7.6,,5.6,,479,,480,,0,\N,3.7,,1,,0,,0,Z,0,Z,0,Z,0.18,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0750000,2000-07-18,00:00:00,Yes,0,28.1,,7.3,,5.4,,839,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0750000,2000-08-01,00:00:00,Yes,0,25.7,,6.7,,5.5,,262,,6000,>,0,\N,13,,95,,0,,0,Z,0.8,,0,Z,0.11,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0750000,2000-08-17,00:00:00,Yes,0,25.2,,7.5,,5.3,,250,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0750000,2000-09-05,00:00:00,Yes,0,22.4,,7.3,,6.2,,234,,370,,0,\N,15,,23.3,,0,,0,Z,0.6,,0,Z,0.18,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0750000,2000-09-18,00:00:00,Yes,0,21.2,,7.3,,5.4,,471,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0750000,2000-10-09,00:00:00,Yes,0,18.5,,7.5,,6.5,,607,,9700,>,0,\N,2.5,,6,,0,,0,Z,0.8,,0,Z,0.15,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0750000,2000-11-17,00:00:00,Yes,0,18.3,,7.5,,6.2,,842,,180,,0,\N,5.5,,5,,0,,0.22,,2.9,,4.53,,3.28,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0750000,2000-12-04,00:00:00,Yes,0,14.1,,7.7,,7.3,,707,,48,,0,\N,3.8,,1.5,,0,,0.26,,3,,7.41,,0.29,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0750000,2001-01-16,00:00:00,Yes,0,14,,7.5,,7.2,,607,,70,,0,\N,6.4,,5,,0,,0.4,,3.6,,7.35,,0.42,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0750000,2001-02-14,00:00:00,Yes,0,12.1,,7.3,,7.6,,532,,72,,0,\N,14.2,,8,,0,,0.8,,2.7,,2.97,,0.23,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0750000,2001-03-13,00:00:00,Yes,0,15,,7.6,,7.9,,446,,96,,0,\N,6.5,,10,,0,,0.2,,1.3,,3.3,,0.22,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0750000,2001-04-04,00:00:00,Yes,0,13.5,,7.3,,7.4,,357,,140,,0,\N,29,,18.7,,0,,0.23,,1.5,,3.8,,0.25,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0750000,2001-04-23,00:00:00,Yes,0,20.8,,7.3,,6,,594,,0,,0,\N,0,,0,,0,,0.15,,1.9,,8.4,,2.6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0750000,2001-05-09,00:00:00,Yes,0,21.8,,7.5,,5.8,,670,,640,,0,\N,3.3,,3,,0,,0.31,,2,,8.61,,0.89,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,,0,
B0750000,2001-05-28,00:00:00,Yes,0,19.8,,7.1,,6,,380,,0,,0,\N,0,,0,,0,,1.1,,1.5,,4.3,,0.95,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0750000,2001-06-13,00:00:00,Yes,0,25.9,,7.6,,5.9,,676,,960,,0,\N,1.8,,2,,0,,0.09,,1.2,,8.19,,0.26,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0750000,2001-06-25,00:00:00,Yes,0,24.7,,7.7,,6,,498,,0,,0,\N,0,,0,,0,,0.08,,1.1,,6.61,,0.29,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0750000,2001-07-02,00:00:00,Yes,0,26.5,,7.5,,5.2,,585,,840,,0,\N,1.6,,1.6,,0,,0.06,,1.5,,9.25,,1.18,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0750000,2001-07-09,00:00:00,Yes,0,24.2,,7.5,,6.4,,361,,0,,0,\N,0,,0,,0,,0.06,,0.8,,3.36,,0.81,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0750000,2001-08-01,00:00:00,Yes,0,24.8,,7.2,,6.1,,535,,1180,,0,\N,9.3,,6,,0,,0.1,,1.4,,6.16,,0.96,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0750000,2001-08-16,00:00:00,Yes,0,26.8,,7.6,,5.8,,635,,0,,0,\N,0,,0,,0,,0.06,,1.8,,6.13,,0.99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0750000,2001-09-03,00:00:00,Yes,0,25.1,,7.3,,6.1,,511,,120,,0,\N,6.7,,4.5,,0,,0.12,,1.7,,7.49,,0.55,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0750000,2001-09-17,00:00:00,Yes,0,22.2,,7.7,,5.7,,781,,0,,0,\N,0,,0,,0,,0.11,,1.6,,13.8,,1.25,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
