Data was downloaded on July 6 2026 2:05 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B0840000/UCFRBA_46,3030002,36.17299,-79.51026,"REEDY FORK AT NC 87 AT OSSIPEE","Alamance","","C NSW",CPF02,no

Query Results: 
Stations:B0840000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B0840000,2000-04-24,00:00:00,Yes,0,17,,7.6,,8.4,,278,,190,,0,\N,3.8,,2.5,,0,,0,Z,0,Z,0,Z,0.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0840000,2000-05-03,00:00:00,Yes,0,16.7,,7.4,,8.4,,86,,42,,0,\N,8.7,,9.5,,0,,0,Z,0,Z,0,Z,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0840000,2000-06-01,00:00:00,Yes,0,19.2,,7.5,,7.7,,401,,630,,0,\N,3.9,,1,<,0,,0,Z,0,Z,0,Z,0.44,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0840000,2000-07-05,00:00:00,Yes,0,25.2,,7.6,,6.7,,432,,560,,0,\N,5.9,,6,,0,,0,Z,0,Z,0,Z,0.34,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0840000,2000-08-01,00:00:00,Yes,0,25.5,,7.3,,6.6,,401,,580,,0,\N,1.4,,13,,0,,0,Z,0.6,,0,Z,0.28,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0840000,2000-09-05,00:00:00,Yes,0,23.4,,7.2,,7,,129,,320,,0,\N,24,,27,,0,,0,Z,0.5,,0,Z,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0840000,2000-10-09,00:00:00,Yes,0,14.7,,7.5,,8.4,,498,,100,,0,\N,2.2,,10,,0,,0,Z,0.3,,0,Z,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0840000,2000-11-17,00:00:00,Yes,0,10,,7.6,,9.3,,289,,400,,0,\N,5.7,,5.5,,0,,0.17,,0.8,,1.96,,1.25,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0840000,2000-12-04,00:00:00,Yes,0,5.7,,7.3,,10.3,,588,,82,,0,\N,3.5,,1.5,,0,,2.13,,3.4,,3.14,,0.48,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0840000,2001-01-16,00:00:00,Yes,0,7.8,,7.5,,9.6,,499,,116,,0,\N,4.4,,1,,0,,0.88,,3,,3.69,,0.42,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0840000,2001-02-14,00:00:00,Yes,0,9.4,,7.3,,9.8,,390,,188,,0,\N,8.1,,5.5,,0,,0.7,,2,,3.93,,0.37,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0840000,2001-03-13,00:00:00,Yes,0,12,,7.5,,9,,448,,140,,0,\N,5,,1.3,,0,,0.21,,1.4,,3.8,,0.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0840000,2001-04-04,00:00:00,Yes,0,12.4,,7.5,,8.8,,147,,260,,0,\N,19,,30.5,,0,,0.09,,0.8,,0.91,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0840000,2001-04-23,00:00:00,Yes,0,0,,0,,0,,0,,0,,0,\N,0,,0,,0,,0.14,,1.3,,4.7,,1.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0840000,2001-05-09,00:00:00,Yes,0,18.2,,7.7,,8.2,,520,,440,,0,\N,6.1,,6.5,,0,,0.09,,1.2,,5.6,,0.98,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
