Data was downloaded on July 6 2026 2:02 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B0850000/UCFRBA_09,3030002,36.15310,-79.48940,"Haw Riv at SR 1530 Gerringer Mill Rd nr Ossipee","Alamance","above Burlington; Below Reedy Fork","C NSW",CPF02,no

Query Results: 
Stations:B0850000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B0850000,2000-04-24,00:00:00,Yes,0,16,,7.1,,8.6,,194,,52,,0,\N,5.4,,4,,0,,0,Z,0,Z,0,Z,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0850000,2000-05-03,00:00:00,Yes,0,16.9,,7.5,,8,,156,,120,,0,\N,6.2,,9,,0,,0,Z,0,Z,0,Z,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0850000,2000-05-17,00:00:00,Yes,0,18.6,,7.5,,7.3,,328,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0850000,2000-06-01,00:00:00,Yes,0,18.1,,7.2,,7.6,,283,,230,,0,\N,7.2,,4,,0,,0,Z,0,Z,0,Z,0.26,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0850000,2000-06-16,00:00:00,Yes,0,24.6,,7.5,,6.4,,428,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0850000,2000-07-05,00:00:00,Yes,0,24.2,,7.5,,6.4,,337,,570,,0,\N,8.9,,8,,0,,0,Z,0,Z,0,Z,0.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0850000,2000-07-18,00:00:00,Yes,0,23.9,,7.2,,6.4,,429,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0850000,2000-08-01,00:00:00,Yes,0,24.4,,7.1,,6.3,,318,,2300,,0,\N,1.7,,8,,0,,0,Z,0.4,,0,Z,0.22,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0850000,2000-08-17,00:00:00,Yes,0,23.1,,7.5,,6.6,,396,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0850000,2000-09-05,00:00:00,Yes,0,23,,7,,7,,117,,670,,0,\N,22,,41,,0,,0,Z,0.7,,0,Z,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
