Data was downloaded on July 6 2026 2:02 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B1020000/UCFRBA_09A,3030003,36.15310,-79.48940,"Haw River at SR 1700 (Lower Hopedale Road) nr Hopedale","Alamance","above Burlington, below Reedy Fk","C NSW",CPF02,yes

Query Results: 
Stations:B1020000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B1020000,2010-05-13,12:27:00,Yes,0.1,20.9,,8.01,,9.4,,415,,190,B4,0,\N,3.1,,4,,0,,0.03,,0.48,,2.78,,0.196,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,54,
B1020000,2010-05-26,13:34:00,Yes,0.1,23.4,,7.69,,9.2,,200,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1020000,2010-06-02,12:08:00,Yes,0.1,24.5,,6.92,,7.7,,143,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1020000,2010-06-14,12:00:00,Yes,0.1,26.1,,7.27,,7.7,,329,,410,,0,\N,29.1,,22,,0,,0.07,,0.89,,2.42,,0.18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,48,
B1020000,2010-07-16,12:42:00,Yes,0.1,28.2,,7.54,,7.5,,137,,570,,0,\N,44,,15,,0,,0.14,,0.75,,0.77,,0.177,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,28,
B1020000,2010-07-30,10:24:00,Yes,0.1,27.2,,7.45,,7,,124,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1020000,2010-08-16,12:35:00,Yes,0.1,27.5,,7.71,,8.4,,156,,220,,0,\N,18,,8,,0,,0.02,U,0.61,,0.31,,0.104,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1020000,2010-08-31,13:09:00,Yes,0.1,26.7,,8.01,,9.2,,522,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1020000,2010-09-10,11:02:00,Yes,0.1,21.4,,7.6,,7.7,,618,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1020000,2010-09-27,12:06:00,Yes,0.1,23,,7.6,,7.7,,646,,570,,0,\N,3.2,,3,,0,,0.08,,0.44,,8.48,,0.164,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
