Data was downloaded on July 6 2026 2:03 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B1200000/UCFRBA_13,3030002,36.04810,-79.36670,"Haw Riv at NC 54 nr Graham","Alamance","Between Burlington East and Graham","C NSW",CPF02,yes

Query Results: 
Stations:B1200000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B1200000,2000-04-24,00:00:00,Yes,0,17,,7.7,,8.2,,169,,46,,0,\N,6.6,,9,,0,,0,Z,0,Z,0,Z,0.2,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1200000,2000-05-03,00:00:00,Yes,0,19.9,,7.5,,8,,169,,140,,0,\N,8,,11.5,,0,,0,Z,0,Z,0,Z,0.14,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1200000,2000-05-17,00:00:00,Yes,0,22.4,,8.6,,10.6,,385,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1200000,2000-06-01,00:00:00,Yes,0,23,,7.4,,6.8,,341,,210,,0,\N,8,,6,,0,,0,Z,0,Z,0,Z,0.28,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1200000,2000-06-16,00:00:00,Yes,0,26.9,,7.4,,6.6,,284,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1200000,2000-07-05,00:00:00,Yes,0,27.2,,7.4,,6.1,,280,,2100,,0,\N,11,,9,,0,,0,Z,0,Z,0,Z,0.12,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1200000,2000-07-18,00:00:00,Yes,0,28.5,,7.3,,6.4,,377,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1200000,2000-08-01,00:00:00,Yes,0,20.8,,6.9,,6.2,,340,,530,,0,\N,3.2,,4,,0,,0,Z,0.6,,0,Z,0.22,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1200000,2000-08-17,00:00:00,Yes,0,27.8,,7.3,,6.7,,442,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1200000,2000-09-05,00:00:00,Yes,0,22.7,,6.9,,6.7,,109,,870,,0,\N,26,,53,,0,,0,Z,0.5,,0,Z,0.03,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1200000,2000-09-18,00:00:00,Yes,0,18.2,,7.4,,6.4,,111,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1200000,2000-10-09,00:00:00,Yes,0,13.9,,8.2,,9.3,,415,,48,,0,\N,1.1,,1,<,0,,0,Z,0.4,,0,Z,0.19,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1200000,2000-11-17,00:00:00,Yes,0,12.1,,7.7,,9.3,,414,,94,,0,\N,4.6,,4,,0,,0.02,,1,,2.06,,0.84,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1200000,2000-12-04,00:00:00,Yes,0,5.2,,7.8,,11.2,,397,,275,,0,\N,4.4,,1.5,,0,,0.19,,1.1,,2.29,,0.35,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1200000,2001-01-16,00:00:00,Yes,0,7.5,,8.1,,11.1,,383,,9,,0,\N,5.3,,1,,0,,0.29,,2.1,,2.26,,0.22,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1200000,2001-02-14,00:00:00,Yes,0,9.3,,7.6,,9.8,,258,,197,,0,\N,9.5,,5.3,,0,,0.01,<,0.8,,1.21,,0.13,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1200000,2001-03-13,00:00:00,Yes,0,13,,7.7,,9.1,,323,,151,,0,\N,7,,4,,0,,0.11,,0.9,,1.6,,0.2,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1200000,2001-04-04,00:00:00,Yes,0,12.3,,7.4,,8.9,,143,,96,,0,\N,30,,40,,0,,0.06,,0.8,,0.72,,0.15,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1200000,2001-04-23,00:00:00,Yes,0,20,,8.1,,8.7,,302,,0,,0,\N,0,,0,,0,,0.05,,0.9,,2,,0.56,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1200000,2001-05-09,00:00:00,Yes,0,21.7,,7.8,,8,,455,,22,,0,\N,3.1,,6,,0,,0.06,,0.9,,2.9,,0.54,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1200000,2001-05-28,00:00:00,Yes,0,19.2,,7.2,,7.2,,141,,0,,0,\N,0,,0,,0,,0.11,,0.9,,0.77,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1200000,2001-06-13,00:00:00,Yes,0,26.2,,7.5,,7.1,,422,,110,,0,\N,4,,3,,0,,0.05,,0.9,,2.96,,0.37,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1200000,2001-06-25,00:00:00,Yes,0,26.2,,7.2,,6.6,,232,,0,,0,\N,0,,0,,0,,0.06,,0.6,,1.35,,0.28,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1200000,2001-07-02,00:00:00,Yes,0,27.8,,7.6,,6.7,,275,,42,,0,\N,4.8,,5.2,,0,,0.05,,0.8,,1.43,,0.44,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1200000,2001-07-09,00:00:00,Yes,0,26.1,,7.4,,6.5,,192,,0,,0,\N,0,,0,,0,,0.06,,0.7,,1.26,,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1200000,2001-08-01,00:00:00,Yes,0,23.5,,6.9,,7.3,,178,,66,,0,\N,32,,23,,0,,0.05,,0.7,,0.9,,0.22,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1200000,2001-08-16,00:00:00,Yes,0,27.1,,7.4,,6.4,,289,,0,,0,\N,0,,0,,0,,0.05,,0.8,,1.89,,0.27,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1200000,2001-09-03,00:00:00,Yes,0,24.2,,7.2,,6.9,,268,,400,,0,\N,40,,15,,0,,0.07,,0.8,,2.42,,0.52,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1200000,2001-09-17,00:00:00,Yes,0,21,,8.1,,8.4,,319,,0,,0,\N,0,,0,,0,,0.08,,0.6,,2.58,,0.54,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1200000,2001-10-01,00:00:00,Yes,0,17.8,,8.4,,10,,352,,60,,0,\N,9.3,,5,,0,,0.04,,1,,2.7,,0.27,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1200000,2001-10-15,00:00:00,Yes,0,17.2,,7.7,,7.7,,562,,0,,0,\N,0,,0,,0,,0.06,,1.6,,8.9,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1200000,2001-11-01,00:00:00,Yes,0,14.9,,8.1,,10.6,,634,,2200,est,0,\N,4.6,,1.7,,0,,0.11,,1.8,,7.6,,0.67,,0.5,<,10,J2,5,,0,Z,0.5,<,37,,210,,280,,0,,0.2,<,5,<,0,
B1200000,2001-12-13,00:00:00,Yes,0,12,,6.8,,8.5,,207,,3200,,0,\N,50,,40,,0,,0.08,,0.8,,1.24,,0.2,,0.5,<,20,,5.7,V,5,<,2.6,,19,V,1933,,2330,,0,,0.2,<,5,<,0,
B1200000,2002-01-02,00:00:00,Yes,0,2.3,,7.3,,11.2,,329,,46,,0,\N,3.8,,3,,0,,0.05,,0.9,,5.89,,0.17,,0.5,<,20,<,5.1,V,5,<,2,<,17,,159,,627,,0,,0.2,<,10,<,0,
B1200000,2002-02-04,00:00:00,Yes,0,8.4,,7.2,,10.7,,330,,300,,0,\N,7.1,,4,,0,,0.04,,0.7,,2.63,,0.16,,0.5,<,20,<,6.3,V,5,<,1,,27,,360,,784,,0,,0.2,<,10,<,0,
B1200000,2002-03-04,00:00:00,Yes,0,8,,7.1,,9.6,,148,,67,B4,0,\N,50,,32.8,,0,,0.12,,0.9,,0.84,,0.01,<,0.5,<,20,<,5.8,V,5,<,2.9,,23,,1200,,2200,,0,,0.2,<,5,<,0,
B1200000,2002-04-01,00:00:00,Yes,0,16.5,,7.3,,8.8,,257,,52,,0,\N,12,,14,,0,,0.05,,0.8,,1.75,,0.17,,0.2,<,10,<,2.1,,5,<,2,<,18,,420,,1100,,0,,0.2,<,5,<,0,
B1200000,2002-05-01,00:00:00,Yes,0,23.2,,8.2,,7,,517,,44,B1,0,\N,5.7,,6.5,,0,,0.08,,1.2,,3.77,,0.3,,1.1,,20,<,8.1,,21,,1.5,,61,,270,,640,,0,,0.2,<,5,<,0,
B1200000,2002-05-20,00:00:00,Yes,0,19.1,,7.3,,8.2,,403,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1200000,2002-06-03,00:00:00,Yes,0,27.8,,7.3,,7,,560,,155,,0,\N,6.1,,6.2,,0,,0.08,,1.4,,7.08,,1.4,,0.92,,20,<,5.9,,7,,2,<,32,,120,,320,,0,,0.2,<,5,<,0,
B1200000,2002-06-14,00:00:00,Yes,0,26.8,,7.3,,5.6,,543,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1200000,2002-07-01,00:00:00,Yes,0,28.4,,8.2,,7.9,,691,,50,,0,\N,3.8,,3.8,,0,,0.13,,2.1,,7.64,,0.58,,0.51,,10,<,7,,12,,2,<,48,,110,,190,,0,,0.2,<,5,<,0,
B1200000,2002-07-12,00:00:00,Yes,0,25.1,,7.9,,7.7,,570,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1200000,2002-08-05,00:00:00,Yes,0,30.6,,7.7,,7.7,,445,,106,,0,\N,10,,4.9,,0,,0.08,,1.4,,4.75,,0.91,,0.5,<,10,<,4.9,,8,,1,,23,,290,,460,,0,,0.2,<,5,<,0,
B1200000,2002-08-19,00:00:00,Yes,0,30,,8.3,,8.3,,642,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1200000,2002-09-02,18:45:00,Yes,0.1,23,,6.8,,6.6,,161,,12000,B5,0,\N,100,,97,,0,,0.18,,1,,0.98,,0.24,,0.5,U,10,U,8,,5,U,4.8,,29,,2200,,3500,,0,,0.2,U,5,U,0,
B1200000,2002-09-17,14:03:00,Yes,0.1,25,,7.8,,7.7,,617,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
