Data was downloaded on July 6 2026 2:02 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B1350000/UCFRBA_10,3030002,36.08850,-79.28440,"Moadams Crk at Corrigdor Rd ups of Discharge nr Mebane","Alamance","ups Mebane WWTP","C NSW",CPF02,yes

Query Results: 
Stations:B1350000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B1350000,2000-04-24,00:00:00,Yes,0,14,,7.4,,5.9,,98,,210,,0,\N,10,,4.5,,0,,0,,0,,0,,0,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1350000,2000-05-03,00:00:00,Yes,0,17.3,,7,,7.9,,119,,260,,0,\N,10,,7,,0,,0,,0,,0,,0,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1350000,2000-05-17,00:00:00,Yes,0,19,,7.1,,5.9,,120,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1350000,2000-06-01,00:00:00,Yes,0,19.5,,7,,5.9,,133,,100,,0,\N,8.2,,4,,0,,0,,0,,0,,0,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1350000,2000-06-16,00:00:00,Yes,0,23.1,,6.9,,6.6,,114,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1350000,2000-07-05,00:00:00,Yes,0,22.8,,6.9,,6.8,,139,,580,,0,\N,8.1,,1,,0,,0,,0,,0,,0,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1350000,2000-07-18,00:00:00,Yes,0,23.7,,6.9,,7.2,,148,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1350000,2000-08-01,00:00:00,Yes,0,22.7,,6.7,,6.3,,99,,5800,,0,\N,20,,2,,0,,0,,0,,0,,0,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1350000,2000-08-17,00:00:00,Yes,0,21.6,,7,,6.7,,126,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1350000,2000-09-05,00:00:00,Yes,0,19,,7.2,,6.5,,128,,250,,0,\N,16,,7,,0,,0,,0,,0,,0,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
