Data was downloaded on July 6 2026 2:02 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B1380000/UCFRBA_11,3030002,36.08910,-79.30740,"Moadams Crk at SR 1940 Gibson Rd nr Florence Town","Alamance","dns Mebane WWTP","C NSW",CPF02,yes

Query Results: 
Stations:B1380000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B1380000,2000-04-24,00:00:00,Yes,0,16,,7.6,,7.2,,232,,270,,0,\N,8.9,,3,,0,,0,Z,0,Z,0,Z,0.29,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1380000,2000-05-03,00:00:00,Yes,0,21.8,,7.5,,7.5,,336,,400,,0,\N,7.1,,8.5,,0,,0,Z,0,Z,0,Z,0.39,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1380000,2000-05-17,00:00:00,Yes,0,20.3,,7.6,,7.8,,421,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1380000,2000-06-01,00:00:00,Yes,0,21.8,,7.4,,6.2,,390,,220,,0,\N,6.1,,5,,0,,0,Z,0,Z,0,Z,0.3,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1380000,2000-06-16,00:00:00,Yes,0,26,,7.2,,6.5,,334,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1380000,2000-07-05,00:00:00,Yes,0,26.5,,7.4,,6.4,,442,,460,,0,\N,6.6,,4,,0,,0,Z,0,Z,0,Z,0.55,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1380000,2000-07-18,00:00:00,Yes,0,27,,7.2,,7,,576,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1380000,2000-08-01,00:00:00,Yes,0,25.1,,7,,6.6,,230,,5500,,0,\N,24,,30,,0,,0,Z,0.7,,0,Z,0.43,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1380000,2000-08-17,00:00:00,Yes,0,26.1,,7.6,,7,,598,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1380000,2000-09-05,00:00:00,Yes,0,20.8,,7.5,,6.8,,295,,840,,0,\N,9.3,,6,,0,,0,Z,0.1,<,0,Z,0.62,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
