Data was downloaded on July 6 2026 2:03 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B1440000/UCFRBA_12,3030002,36.02560,-79.36820,"Haw Riv at SR 2158 Swepsonville Rd nr Swepsonville","Alamance","dns Graham WWTP","C NSW",CPF02,yes

Query Results: 
Stations:B1440000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B1440000,2000-04-24,00:00:00,Yes,0,17,,7.7,,8.1,,164,,68,,0,\N,6.4,,7,,0,,0,Z,0,Z,0,Z,0.17,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1440000,2000-05-03,00:00:00,Yes,0,19.6,,7.4,,7.8,,172,,130,,0,\N,7.9,,9.5,,0,,0,Z,0,Z,0,Z,0.15,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1440000,2000-05-17,00:00:00,Yes,0,23.1,,8.7,,8.9,,380,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1440000,2000-06-01,00:00:00,Yes,0,28.8,,7.7,,7.3,,329,,280,,0,\N,7.3,,5,,0,,0,Z,0,Z,0,Z,0.01,<,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1440000,2000-06-16,00:00:00,Yes,0,26.8,,7.5,,6.6,,343,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1440000,2000-07-05,00:00:00,Yes,0,27.6,,7.5,,6.8,,281,,380,,0,\N,10,,7,,0,,0,Z,0,Z,0,Z,0.34,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1440000,2000-07-18,00:00:00,Yes,0,29.1,,7.6,,7.6,,348,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1440000,2000-08-01,00:00:00,Yes,0,27.3,,7.3,,6.8,,319,,970,,0,\N,5.5,,6,,0,,0,Z,0.7,,0,Z,0.01,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1440000,2000-08-17,00:00:00,Yes,0,28.2,,7.8,,7.4,,432,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1440000,2000-09-05,00:00:00,Yes,0,22.5,,7.2,,6.9,,110,,270,,0,\N,26,,54,,0,,0,Z,0.5,,0,Z,0.17,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1440000,2000-09-18,00:00:00,Yes,0,18.2,,6.8,,6.4,,113,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1440000,2000-10-09,00:00:00,Yes,0,14.2,,8.6,,10.4,,423,,46,,0,\N,1.6,,7,,0,,0,Z,0.7,,0,Z,0.29,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1440000,2000-11-17,00:00:00,Yes,0,12.3,,8,,9.8,,437,,142,,0,\N,4.3,,2.5,,0,,0.01,,0.9,,3.13,,0.86,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1440000,2000-12-04,00:00:00,Yes,0,5.4,,8,,11.7,,398,,94,,0,\N,5.1,,1,<,0,,0.13,,1.1,,2.47,,0.33,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1440000,2001-01-16,00:00:00,Yes,0,7.9,,8.3,,11.1,,361,,6,,0,\N,4.9,,2.5,,0,,0.2,,2,,2.34,,0.23,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1440000,2001-02-14,00:00:00,Yes,0,9.3,,7.6,,10.2,,259,,520,,0,\N,9,,5,,0,,0.04,,0.8,,1.19,,0.16,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1440000,2001-03-13,00:00:00,Yes,0,14,,7.8,,9.2,,297,,44,,0,\N,8.6,,5,,0,,0.1,,0.9,,1.8,,0.19,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1440000,2001-04-04,00:00:00,Yes,0,12.4,,7.4,,8.6,,131,,88,,0,\N,30,,33.5,,0,,0.07,,0.7,,0.76,,0.13,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1440000,2001-04-23,00:00:00,Yes,0,21.2,,8.7,,8.9,,292,,0,,0,\N,0,,0,,0,,0.04,,0.8,,1.9,,0.56,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
