Data was downloaded on July 6 2026 2:03 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B1940000/UCFRBA_14,3030002,36.02420,-79.39430,"Big Alamance Crk at NC 87 nr Swepsonville","Alamance","ups Burlington S. WWTP","C NSW",CPF02,yes

Query Results: 
Stations:B1940000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B1940000,2000-04-25,00:00:00,Yes,0,15,,6.9,,7.6,,119,,410,,0,\N,7.3,,22.5,,0,,0,Z,0,Z,0,Z,0.06,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1940000,2000-05-03,00:00:00,Yes,0,19.1,,7.4,,7.7,,105,,300,,0,\N,10,,6.5,,0,,0,Z,0,Z,0,Z,0.05,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1940000,2000-05-17,00:00:00,Yes,0,19.7,,7.5,,7.6,,117,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1940000,2000-06-01,00:00:00,Yes,0,20.7,,7.2,,7,,127,,160,,0,\N,4.9,,3,,0,,0,Z,0,Z,0,Z,0.02,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1940000,2000-06-19,00:00:00,Yes,0,25,,7,,4.9,,136,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1940000,2000-07-05,00:00:00,Yes,0,26,,7.3,,6.3,,139,,350,,0,\N,5.2,,1,,0,,0,Z,0,Z,0,Z,0.01,<,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1940000,2000-07-19,00:00:00,Yes,0,25.1,,6.8,,6.2,,142,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1940000,2000-08-02,00:00:00,Yes,0,23.6,,6.7,,6,,133,,430,,0,\N,7.6,,5,,0,,0,Z,0.2,,0,Z,0.01,<,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1940000,2000-08-21,00:00:00,Yes,0,20.2,,6.8,,6.5,,125,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1940000,2000-09-05,00:00:00,Yes,0,22.2,,7.3,,6.6,,95,,430,,0,\N,12,,12,,0,,0,Z,0.5,,0,Z,0.08,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1940000,2000-09-20,00:00:00,Yes,0,21.6,,7.3,,6.8,,107,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1940000,2000-10-09,00:00:00,Yes,0,12,,7.4,,8.6,,127,,96,,0,\N,1.2,,3,,0,,0,Z,0.6,,0,Z,0.15,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1940000,2000-11-17,00:00:00,Yes,0,10.1,,7.5,,9.2,,148,,120,,0,\N,3.1,,2.5,,0,,0.01,<,0.1,,0.01,,0.04,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1940000,2000-12-04,00:00:00,Yes,0,3.3,,7.5,,11.4,,151,,72,,0,\N,4.4,,2,,0,,0.02,,0.2,,0.09,,0.01,<,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1940000,2001-01-16,00:00:00,Yes,0,5.6,,7.7,,10.9,,143,,44,,0,\N,5.2,,1.5,,0,,0.02,,1.6,,0.15,,0.01,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
