Data was downloaded on July 6 2026 2:03 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B1960000/UCFRBA_15,3030002,36.01770,-79.36700,"Big Alamance Crk at SR 2116 Boy Wood Rd at Swepsonsville","Alamance","dns Burlington S. WWTP; DWQ ambient stn","C NSW",CPF02,no

Query Results: 
Stations:B1960000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B1960000,2000-04-25,00:00:00,Yes,0,16,,6.9,,7.1,,157,,82,,0,\N,6,,11,,0,,0,Z,0,Z,0,Z,0.08,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1960000,2000-05-03,00:00:00,Yes,0,18.5,,7.3,,7.5,,170,,460,,0,\N,14,,19.5,,0,,0,Z,0,Z,0,Z,0.11,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1960000,2000-05-17,00:00:00,Yes,0,22.5,,7.3,,5.5,,443,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1960000,2000-06-01,00:00:00,Yes,0,24.5,,7.3,,6.6,,355,,110,,0,\N,6.7,,3,,0,,0,Z,0,Z,0,Z,0.25,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1960000,2000-06-19,00:00:00,Yes,0,26.3,,7,,4.8,,452,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1960000,2000-07-05,00:00:00,Yes,0,26.9,,7.4,,7.7,,318,,310,,0,\N,9.4,,10,,0,,0,Z,0,Z,0,Z,0.13,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1960000,2000-07-19,00:00:00,Yes,0,27.3,,7.2,,6.9,,435,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1960000,2000-08-02,00:00:00,Yes,0,24.4,,6.6,,5.5,,248,,2300,,0,\N,16,,18,,0,,0,Z,0.6,,0,Z,0.02,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B1960000,2000-08-21,00:00:00,Yes,0,22.5,,7.1,,5.6,,290,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1960000,2000-09-05,00:00:00,Yes,0,23.1,,7.1,,6.2,,115,,560,,0,\N,16,,14,,0,,0,Z,0,Z,0,Z,0.08,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
