Data was downloaded on July 6 2026 2:05 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B1980000/UCFRBA_47,3030002,35.95000,-79.32000,"HAW RIV AT SR 2171 AT SAXAPAHAW","Alamance","","C NSW",CPF04,no

Query Results: 
Stations:B1980000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B1980000,2000-04-25,00:00:00,Yes,0,16,,7,,7.8,,160,,88,,0,\N,9.8,,17.5,,0,,0,Z,0,Z,0,Z,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2000-05-04,00:00:00,Yes,0,17.6,,7.3,,7.9,,157,,220,,0,\N,11,,16.5,,0,,0,Z,0,Z,0,Z,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2000-06-05,00:00:00,Yes,0,24,,7,,6.2,,326,,46,,0,\N,4.5,,8,,0,,0,Z,0,Z,0,Z,0.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2000-07-06,00:00:00,Yes,0,26.8,,7.4,,6.8,,211,,54,,0,\N,13,,14,,0,,0,Z,0,Z,0,Z,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2000-08-02,00:00:00,Yes,0,26.1,,7.1,,5.8,,342,,330,,0,\N,7.5,,10,,0,,0,Z,0.7,,0,Z,0.26,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2000-09-06,00:00:00,Yes,0,20.6,,6.9,,6.6,,129,,460,,0,\N,17,,30,,0,,0,Z,0,Z,0,Z,0.18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2000-10-10,00:00:00,Yes,0,14.7,,7.6,,6.4,,375,,32,,0,\N,5.6,,24,,0,,0,Z,0.6,,0,Z,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2000-11-20,00:00:00,Yes,0,7.8,,7.4,,8.5,,477,,68,,0,\N,10,,8,,0,,0.07,,1.1,,2.49,,0.4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2000-12-05,00:00:00,Yes,0,4.3,,7.4,,10.7,,312,,29,,0,\N,9.4,,3.5,,0,,0.17,,0.8,,1.44,,0.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2001-01-17,00:00:00,Yes,0,5.2,,8.5,,11.5,,308,,16,,0,\N,10.5,,5.5,,0,,0.09,,1.8,,1.36,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2001-02-15,00:00:00,Yes,0,9.5,,7.3,,9.9,,352,,72,,0,\N,8.5,,5.5,,0,,0.08,,1.1,,2,,0.29,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2001-03-14,00:00:00,Yes,0,11,,7.8,,9.6,,231,,94,,0,\N,15,,12,,0,,0.09,,0.8,,0.9,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2001-04-05,00:00:00,Yes,0,11.3,,6.7,,9.5,,128,,120,,0,\N,39,J1,22.5,,0,,0.05,,0.7,,0.58,,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2001-04-24,00:00:00,Yes,0,0,,0,,0,,0,,0,,0,\N,0,,0,,0,,0.09,,0.8,,1.4,,0.53,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2001-05-10,00:00:00,Yes,0,21.1,,7.1,,6.6,,345,,540,,0,\N,18,,16.5,,0,,0.15,,0.8,,1.9,,0.28,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2001-05-29,00:00:00,Yes,0,0,,0,,0,,0,,0,,0,\N,0,,0,,0,,0.19,,0.8,,0.68,,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2001-06-14,00:00:00,Yes,0,24.9,,6.9,,5.6,,265,,580,,0,\N,9.2,,18.4,,0,,0.09,,0.5,,0.99,,0.29,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2001-06-26,00:00:00,Yes,0,0,,0,,0,,0,,0,,0,\N,0,,0,,0,,0.12,,1.2,,3.75,,0.42,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2001-07-02,00:00:00,Yes,0,26.2,,7.1,,5.8,,122,,72,,0,\N,18,,13.8,,0,,0.05,,0.8,,0.94,,0.36,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2001-07-10,00:00:00,Yes,0,0,,0,,0,,0,,0,,0,\N,0,,0,,0,,0.17,,0.6,,0.96,,0.25,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2001-08-01,00:00:00,Yes,0,23.9,,7.5,,6.5,,208,,4800,,0,\N,7.8,,19.5,,0,,0.1,,0.8,,1.53,,0.27,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2001-08-16,00:00:00,Yes,0,26.5,,6.4,,5.2,,211,,0,,0,\N,0,,0,,0,,0.24,,0.9,,1.16,,0.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2001-09-03,00:00:00,Yes,0,24.8,,7.4,,5.1,,449,,133,B1,0,\N,14,,17,,0,,0.22,,1.5,,3.58,,0.45,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2001-09-17,00:00:00,Yes,0,20.9,,7.3,,7.4,,378,,0,,0,\N,0,,0,,0,,0.15,,1.4,,4.43,,0.63,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2001-10-02,00:00:00,Yes,0,17.4,,7.3,,7.1,,299,,18,,0,\N,32,,23,,0,,0.13,,0.6,,1.78,,0.26,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2001-10-13,00:00:00,Yes,0,18.6,,7.4,,8.1,,624,,0,,0,\N,0,,0,,0,,0.25,,1.4,,4.1,,0.36,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2001-11-01,00:00:00,Yes,0,12.1,,7.1,,7,,618,,13,,0,\N,16,,9.3,,0,,0.28,,1.7,,3.44,,0.36,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B1980000,2001-12-13,00:00:00,Yes,0,11.1,,7.2,,9.8,,343,,2800,,0,\N,45,,39,,0,,0.14,,1.3,,4.01,,1.4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
