Data was downloaded on July 6 2026 2:03 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B2000000/UCFRBA_16,3030002,35.89530,-79.25850,"Haw Riv at SR 1005 nr Saxpahaw","Alamance","Rural area, dns Cane Creek","C NSW",CPF04,yes

Query Results: 
Stations:B2000000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B2000000,2004-01-30,17:00:00,Yes,0.1,2,,7.34,,12.6,,219,,56,,0,\N,7,,4.6,,0,,0.12,,0.3,J2,1.7,J2,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2000000,2004-02-26,08:13:00,Yes,0.1,6,,7.3,,11.4,,229,,43,B1,0,\N,8.2,,7.1,,0,,0.23,,0.8,,1.2,,0.01,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2000000,2004-03-18,09:36:00,Yes,0.1,11,,7.5,,9.2,,250,,255,,0,\N,15,,16,,0,,0.17,,1,,1.4,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2000000,2004-04-27,09:50:00,Yes,0.1,22,,7.54,,8.4,,283,,24,B1,0,\N,5,,13,,0,,0.26,,1,,0.87,,0.23,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2000000,2004-05-03,11:22:00,Yes,0.1,25,,8.08,,9.8,,198,,12000,B5,0,\N,36,,41.7,,0,,0.11,,1,,0.8,,0.19,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2000000,2004-06-02,09:00:00,Yes,0.1,25,,7.02,,8.18,,379,,126,,0,\N,15,,16.1,,0,,0.08,,1.3,,1.67,,0.41,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2000000,2004-07-12,10:05:00,Yes,0.1,28,,7.32,,3.6,,170,,155,,0,\N,16,,8.7,,0,,0.05,,0.7,,0.96,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2000000,2004-08-25,15:17:00,Yes,0.1,26.4,,7.7,,9.8,,214,,33,B1,0,\N,10,,6,,0,,0.02,U,0.5,,1.16,,0.42,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2000000,2004-09-13,14:19:00,Yes,0.1,23.5,,6.9,,8,,117,,112,,0,\N,10,,15,,0,,0.04,,0.6,,0.44,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2000000,2004-10-21,14:12:00,Yes,0.1,16.6,,7.4,,9.2,,237,,22,,0,\N,9,,8,,0,,0.02,,0.2,U,1.12,,0.18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2000000,2004-11-19,11:39:00,Yes,0.1,11.5,,7.2,,10.9,,166,,57,B1,0,\N,12,,3,,0,,0.03,,0.6,,0.88,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
