Data was downloaded on July 6 2026 2:03 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B2100000/UCFRBA_17,3030002,35.77160,-79.14490,"Haw Riv at SR 1713 nr Bynum","Chatham","USGS Gage; ups Jordan L.; DWQ ambient stn","WS-IV NSW",CPF04,yes

Query Results: 
Stations:B2100000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B2100000,2005-05-12,00:19:00,Yes,0.1,22.7,,8.09,,10.4,,273,,32,,0,\N,3.2,,2,,0,,0.02,U,0.5,,1.56,,0.33,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2100000,2005-06-23,13:15:00,Yes,0.1,27.7,,8.62,,9.5,,214,,9,,0,\N,5.8,,5,,0,,0.04,,0.6,,0.49,,0.11,,2,U,5,U,3,,10,U,10,U,10,U,196,,558,,0,,0.0048,,10,U,0,
B2100000,2005-07-21,00:35:00,Yes,0.1,31.1,,8.33,,7.7,,156,,34,,0,\N,31.4,,14,,0,,0.02,,0.5,,0.94,,0.18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2100000,2005-08-18,13:54:00,Yes,0.1,28.1,,8.2,,8.8,,190,,27,,0,\N,12.1,,5,,0,,0.02,U,0.6,,0.77,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2100000,2005-09-28,13:51:00,Yes,0.1,26.1,,8.44,,9.9,,634,,38,,0,\N,6.4,,5,,0,,0.07,,1,,2.62,,0.19,,2,U,5,U,3,,11,,10,U,22,,335,,387,,0,,0.0016,,10,U,0,
B2100000,2005-10-19,13:25:00,Yes,0.1,20,,8.58,,11.6,,231,,28,,0,\N,8.6,,5,,0,,0.02,U,0.4,,1.37,,0.21,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2100000,2005-11-16,13:14:00,Yes,0.1,16.2,,8.99,,13.4,,579,,27,,0,\N,3.7,,1,U,0,,0.02,U,0.8,,3.4,,0.33,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2100000,2005-12-28,13:37:00,Yes,0.1,5.3,,7.61,,15.5,,195,,40,,0,\N,11.9,,2,,0,,0.09,,0.6,,1.36,,0.07,,2,U,5,U,2,U,10,U,10,U,14,,363,,824,,0,,0.00228,,10,U,0,
B2100000,2006-01-17,13:36:00,Yes,0.1,8.5,,8.13,,14.8,,144,,150,B,0,\N,14.8,,4,,0,,0.02,U,0.4,,0.57,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2100000,2006-02-20,13:41:00,Yes,0.1,7,,9,,13.1,,204,,17,,0,\N,5.4,,2,,0,,0.02,U,0.3,,0.78,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
