Data was downloaded on July 6 2026 2:03 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B2210000/UCFRBA_17,3030002,35.73087,-79.10703,"HAW RIV AT US 64 NR PITTSBORO","Chatham","","WS-IV NSW",CPF04,no

Query Results: 
Stations:B2210000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B2210000,2000-04-25,00:00:00,Yes,0,16,,7,,7.8,,138,,24,,0,\N,7.9,,8,,0,,0,Z,0,Z,0,Z,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2210000,2000-05-04,00:00:00,Yes,0,19.1,,7.7,,8.4,,130,,52,,0,\N,9.9,,7,,0,,0,Z,0,Z,0,Z,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2210000,2000-06-05,00:00:00,Yes,0,23.5,,7,,6.5,,186,,110,,0,\N,16,,16,,0,,0,Z,0,Z,0,Z,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2210000,2000-07-06,00:00:00,Yes,0,27,,7.6,,6.7,,139,,530,,0,\N,25,,5,,0,,0,Z,0,Z,0,Z,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2210000,2000-08-02,00:00:00,Yes,0,27.8,,7.3,,6.9,,226,,210,,0,\N,11,,9,,0,,0,Z,0.4,,0,Z,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2210000,2000-09-06,00:00:00,Yes,0,21.3,,7.3,,7.7,,106,,110,,0,\N,21,,24,,0,,0,Z,0,Z,0,Z,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2210000,2000-10-10,00:00:00,Yes,0,12.4,,8,,8.3,,295,,30,,0,\N,3.2,,6,,0,,0,Z,0.6,,0,Z,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2210000,2000-11-20,00:00:00,Yes,0,7.3,,7.2,,9.7,,434,,74,,0,\N,2.6,,1,,0,,0.01,<,0.8,,1.9,,0.22,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2210000,2000-12-05,00:00:00,Yes,0,3.6,,8.2,,11.8,,238,,48,,0,\N,5.9,,2,,0,,0.13,,0.4,,0.73,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2210000,2001-01-17,00:00:00,Yes,0,5.2,,8.2,,12.5,,375,,15,,0,\N,3.3,,2,,0,,0.04,,1.6,,3.84,,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
