Data was downloaded on July 6 2026 2:03 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B2450000/UCFRBA_18,3030002,35.70315,-79.10027,"Robeson Crk at Boat Access Off SR 1943 nr Hanks Chapel","Chatham","Dns Pittsboro WWTP; DWQ ambient stn; sample at boat dock","WS-IV B NSW CA",CPF04,no

Query Results: 
Stations:B2450000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B2450000,2000-04-25,00:00:00,Yes,0,18,,7.1,,7.4,,114,,36,,0,\N,14,,12.5,,0,,0,Z,0,Z,0,Z,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2450000,2000-05-04,00:00:00,Yes,0,20.6,,7.9,,9.2,,109,,15,,0,\N,12,,10,,0,,0,Z,0,Z,0,Z,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2450000,2000-05-18,00:00:00,Yes,0,24.6,,8.8,,8.3,,158,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2450000,2000-06-05,00:00:00,Yes,0,25.1,,7.4,,7.1,,214,,16,,0,\N,4,,18,,0,,0,Z,0,Z,0,Z,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2450000,2000-06-19,00:00:00,Yes,0,30.2,,7.8,,7.1,,286,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2450000,2000-07-06,00:00:00,Yes,0,28.5,,8.4,,8.5,,210,,62,,0,\N,5.9,,8,,0,,0,Z,0,Z,0,Z,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2450000,2000-07-19,00:00:00,Yes,0,29.8,,9.3,,11.3,,218,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2450000,2000-08-02,00:00:00,Yes,0,29.4,,8.2,,7.7,,168,,10,,0,\N,4.9,,9,,0,,0,Z,0.7,,0,Z,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2450000,2000-08-21,00:00:00,Yes,0,26.3,,7.2,,6.7,,221,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2450000,2000-09-06,00:00:00,Yes,0,22.7,,7.2,,5.1,,144,,300,,0,\N,31,,14,,0,,0,Z,0,Z,0,Z,0.17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B2450000,2000-09-20,00:00:00,Yes,0,23.9,,6.8,,8.4,,166,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
