Data was downloaded on July 6 2026 2:03 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B3020000/UCFRBA_19,3030002,35.91670,-78.97040,"New Hope Creek at NC 54 nr Durham","Durham","ups S. Durham WRF; below waterfowl imp.","WS-IV NSW",CPF05,yes

Query Results: 
Stations:B3020000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B3020000,2000-04-26,00:00:00,Yes,0,13,,6.8,,7.4,,136,,190,,0,\N,17,,30,,0,,0,Z,0,Z,0,Z,0.1,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3020000,2000-05-04,00:00:00,Yes,0,20.2,,6.9,,4.4,,134,,60,,0,\N,40,,10,,0,,0,Z,0,Z,0,Z,0.17,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3020000,2000-05-18,00:00:00,Yes,0,22.8,,7.2,,5.7,,126,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3020000,2000-06-05,00:00:00,Yes,0,22,,7,,5.2,,146,,120,,0,\N,9.8,,24,,0,,0,Z,0,Z,0,Z,0.02,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3020000,2000-06-19,00:00:00,Yes,0,26.7,,7.2,,5.1,,150,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3020000,2000-07-06,00:00:00,Yes,0,26.3,,6.9,,4.8,,149,,560,,0,\N,11,,24,,0,,0,Z,0,Z,0,Z,0.05,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3020000,2000-07-19,00:00:00,Yes,0,26.5,,6.9,,3.9,,147,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3020000,2000-08-02,00:00:00,Yes,0,24.6,,6.2,,5.5,,86,,6000,>,0,\N,65,,50,,0,,0,Z,0.7,,0,Z,0.02,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3020000,2000-08-21,00:00:00,Yes,0,21.1,,7.3,,6.2,,151,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3020000,2000-09-06,00:00:00,Yes,0,20.3,,7,,6.4,,132,,500,,0,\N,24,,23,,0,,0,Z,0,Z,0,Z,0.11,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3020000,2000-09-20,00:00:00,Yes,0,21.2,,6.8,,5.8,,158,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
