Data was downloaded on July 6 2026 2:03 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B3025000/UCFRBA_23,3030002,35.91870,-78.95480,"Third Fork Crk at NC 54 nr Durham","Durham","Urban runoff","WS-IV NSW",CPF05,yes

Query Results: 
Stations:B3025000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B3025000,2000-04-26,00:00:00,Yes,0,13,,7,,7.4,,245,,620,,0,\N,21,,23,,0,,0,Z,0,Z,0,Z,0.17,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B3025000,2000-05-04,00:00:00,Yes,0,19.8,,7.3,,6.9,,238,,140,,0,\N,40,,39,,0,,0,Z,0,Z,0,Z,0.2,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B3025000,2000-06-05,00:00:00,Yes,0,21.4,,7.1,,5.2,,186,,770,,0,\N,89,,98,,0,,0,Z,0,Z,0,Z,0.06,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B3025000,2000-07-06,00:00:00,Yes,0,25.4,,6.9,,4.5,,211,,400,,0,\N,16,,27,,0,,0,Z,0,Z,0,Z,0.24,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B3025000,2000-08-02,00:00:00,Yes,0,24.2,,6.4,,5.1,,98,,18000,>,0,\N,110,,48,,0,,0,Z,0.8,,0,Z,0.14,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B3025000,2000-09-06,00:00:00,Yes,0,19.9,,7.4,,6.3,,162,,770,,0,\N,38,,19,,0,,0,Z,0,Z,0,Z,0.22,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B3025000,2000-10-10,00:00:00,Yes,0,12.5,,7.3,,7,,257,,100,,0,\N,3.6,,6,,0,,0.02,,1.7,,0,Z,0.15,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B3025000,2000-11-20,00:00:00,Yes,0,7.4,,7.4,,9.2,,260,,4000,,0,\N,16,,11,,0,,0.11,,0.6,,0.25,,0.16,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B3025000,2000-12-05,00:00:00,Yes,0,5.9,,7.4,,7.4,,238,,4,,0,\N,23,,3.5,,0,,0.08,,0.3,,0.09,,0.13,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B3025000,2001-01-17,00:00:00,Yes,0,5.8,,7.5,,11,,288,,68,,0,\N,14.7,,3,,0,,0.01,<,0.5,,0.2,,0.1,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B3025000,2001-02-15,00:00:00,Yes,0,10.9,,7.3,,8.4,,218,,94,,0,\N,20,,5.5,,0,,0.02,,0.8,,0.3,,0.08,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B3025000,2001-03-14,00:00:00,Yes,0,13,,7.5,,8.3,,296,,62,,0,\N,15,,7,,0,,0.06,,0.6,,0.12,,0.09,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3025000,2001-04-05,00:00:00,Yes,0,12.1,,6.9,,8.1,,91,,54,,0,\N,90,J1,21,,0,,0.04,,0.6,,0.16,,0.06,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B3025000,2001-04-24,00:00:00,Yes,0,0,,0,,0,,0,,0,,0,\N,0,,0,,0,,0.15,,1,,0.12,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3025000,2001-05-10,00:00:00,Yes,0,20.1,,7.2,,4.1,,275,,50,,0,\N,17,,12.5,,0,,0.16,,0.6,,0.14,,0.36,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B3025000,2001-05-29,00:00:00,Yes,0,0,,0,,0,,0,,0,,0,\N,0,,0,,0,,0.25,,0.6,,0.22,,0.24,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3025000,2001-06-14,00:00:00,Yes,0,24.1,,6.8,,4,,120,,4000,,0,\N,75,,84.2,,0,,0.1,,0.7,,0.14,,0.12,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B3025000,2001-06-26,00:00:00,Yes,0,0,,0,,0,,0,,0,,0,\N,0,,0,,0,,0.08,,0.6,,0.14,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3025000,2001-07-02,00:00:00,Yes,0,26.2,,7.4,,4.6,,189,,108,,0,\N,33,,16.6,,0,,0.05,,0.6,,0.17,,0.08,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B3025000,2001-07-10,00:00:00,Yes,0,0,,0,,0,,0,,0,,0,\N,0,,0,,0,,0.08,,0.6,,0.23,,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3025000,2001-08-01,00:00:00,Yes,0,21.7,,6.4,,5.3,,172,,860,,0,\N,21,,16,,0,,0.08,,0.6,,0.18,,0.16,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B3025000,2001-08-16,00:00:00,Yes,0,25,,6.3,,5.3,,169,,0,,0,\N,0,,0,,0,,0.1,,2.4,,0.17,,0.18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3025000,2001-09-03,00:00:00,Yes,0,23.7,,7.1,,4,,172,,58,,0,\N,12,,17.5,,0,,0.08,,0.5,,0.19,,0.06,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B3025000,2001-09-17,00:00:00,Yes,0,19,,6.9,,5.6,,189,,0,,0,\N,0,,0,,0,,0.1,,0.4,,0.11,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3025000,2001-10-02,00:00:00,Yes,0,16.8,,7.2,,5.1,,147,,500,,0,\N,50,,11.5,,0,,0.04,,0.3,,0.16,,0.07,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B3025000,2001-10-13,00:00:00,Yes,0,18.5,,7.2,,4.7,,217,,0,,0,\N,0,,0,,0,,0.07,,0.1,,0.02,,0.32,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3025000,2001-11-01,00:00:00,Yes,0,16,,7,,1.1,,212,,4,,0,\N,6.8,,18.5,,0,,0.07,,0.5,,0.1,<,0.33,,0.5,<,10,J2,2.2,,0,Z,0.8,,10,<,160,,1200,,0,,0.2,<,5,<,0,
