Data was downloaded on July 6 2026 2:03 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B3040000/UCFRBA_20,3030002,35.88470,-78.96560,"New Hope Crk at SR 1107 Stagecoach Rd nr Blands","Durham","Jordan Lake TMDL; USGS gage","WS-IV NSW",CPF05,yes

Query Results: 
Stations:B3040000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B3040000,2000-04-26,00:00:00,Yes,0,14,,6.9,,7.4,,208,,72,,0,\N,19,,30,,0,,0,Z,0,Z,0,Z,0.19,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3040000,2000-05-04,00:00:00,Yes,0,21.3,,7.3,,6.7,,201,,62,,0,\N,21,,33,,0,,0,Z,0,Z,0,Z,0.22,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3040000,2000-05-18,00:00:00,Yes,0,23.8,,7.5,,6.6,,287,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3040000,2000-06-05,00:00:00,Yes,0,22.7,,7.2,,6.1,,280,,180,,0,\N,9,,26,,0,,0,Z,0,Z,0,Z,0.09,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3040000,2000-06-19,00:00:00,Yes,0,29.1,,7.5,,6.4,,343,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3040000,2000-07-06,00:00:00,Yes,0,27.7,,7.4,,6.9,,318,,370,,0,\N,7.1,,12,,0,,0,Z,0,Z,0,Z,0.27,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3040000,2000-07-19,00:00:00,Yes,0,29.4,,7.1,,8,,359,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3040000,2000-08-02,00:00:00,Yes,0,24.2,,6.5,,5.4,,94,,12000,>,0,\N,120,,78,,0,,0,Z,0.8,,0,Z,0.2,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3040000,2000-08-21,00:00:00,Yes,0,24,,7.4,,6.9,,343,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3040000,2000-09-06,00:00:00,Yes,0,23.4,,7.6,,6.4,,215,,740,,0,\N,22,,30,,0,,0,Z,0,Z,0,Z,0.17,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3040000,2000-09-20,00:00:00,Yes,0,23.5,,7.2,,6.8,,283,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3040000,2000-10-10,00:00:00,Yes,0,17.9,,7.5,,8.5,,361,,42,,0,\N,3.5,,12,,0,,0.04,,0.5,,0,Z,0.14,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3040000,2000-11-20,00:00:00,Yes,0,13.5,,7.4,,7.9,,395,,153,,0,\N,4.3,,2,,0,,0.01,,1.1,,5.31,,0.53,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3040000,2000-12-05,00:00:00,Yes,0,10.8,,7.3,,7.4,,341,,36,,0,\N,5.3,,2,,0,,0.04,,0.9,,4.34,,0.09,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3040000,2001-01-17,00:00:00,Yes,0,10.3,,7.5,,9.8,,352,,182,,0,\N,6.6,,4.5,,0,,0.04,,1.1,,5.86,,0.14,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3040000,2001-02-15,00:00:00,Yes,0,12.2,,7.3,,8.9,,265,,86,,0,\N,9.5,,6,,0,,0.01,<,0.8,,2.12,,0.07,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3040000,2001-03-14,00:00:00,Yes,0,15,,7.4,,8.3,,246,,40,,0,\N,38,,34,,0,,0.05,,0.7,,2.2,,0.14,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3040000,2001-04-05,00:00:00,Yes,0,12.7,,7,,7.9,,133,,42,,0,\N,32,,16,,0,,0.03,,0.6,,0.78,,0.07,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3040000,2001-04-24,00:00:00,Yes,0,22.2,,7.3,,7,,275,,0,,0,\N,0,,0,,0,,0.1,,0.7,,3.3,,0.36,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
