Data was downloaded on July 6 2026 2:03 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B3300000/UCFRBA_21,3030002,35.88702,-78.89943,"Northeast Crk at SR 1102 Sedwick Road nr RTP","Durham","ups Durham Co. RTP WWTP","WS-IV NSW",CPF05,yes

Query Results: 
Stations:B3300000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B3300000,2000-04-26,00:00:00,Yes,0,13,,7,,7,,212,,130,,0,\N,22,,18,,0,,0,Z,0,Z,0,Z,0.08,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3300000,2000-05-04,00:00:00,Yes,0,21.2,,7.2,,6.3,,206,,26,,0,\N,32,,20.5,,0,,0,Z,0,Z,0,Z,0.07,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3300000,2000-05-18,00:00:00,Yes,0,22.4,,7.3,,3.8,,233,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3300000,2000-06-05,00:00:00,Yes,0,24.2,,7.2,,5,,239,,2300,,0,\N,16,,29,,0,,0,Z,0,Z,0,Z,0.01,<,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3300000,2000-06-19,00:00:00,Yes,0,26.8,,7.1,,3.4,,266,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3300000,2000-07-06,00:00:00,Yes,0,26.3,,6.9,,2.6,,205,,150,,0,\N,19,,20,,0,,0,Z,0,Z,0,Z,0.09,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3300000,2000-07-19,00:00:00,Yes,0,26.8,,6.8,,4.7,,183,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3300000,2000-08-02,00:00:00,Yes,0,24.7,,6.6,,4.7,,95,,16000,>,0,\N,240,,32,,0,,0,Z,0.7,,0,Z,0.15,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3300000,2000-08-21,00:00:00,Yes,0,22.7,,7.3,,4.7,,211,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3300000,2000-09-06,00:00:00,Yes,0,20.2,,7.5,,6.1,,147,,300,,0,\N,38,,19,,0,,0,Z,0,Z,0,Z,0.09,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3300000,2000-09-20,00:00:00,Yes,0,22.5,,7.2,,5.8,,158,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
