Data was downloaded on July 6 2026 2:03 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B3670000/UCFRBA_22,3030002,35.85550,-78.93970,"Northeast Crk at SR 1731 O Kelly Church Road nr Durham","Chatham","dns Durham Co. RTP WWTP; Jordan Lake TMDL","WS-IV NSW",CPF05,yes

Query Results: 
Stations:B3670000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B3670000,2000-04-26,00:00:00,Yes,0,13,,7,,7.7,,439,,280,,0,\N,34,,37,,0,,0,Z,0,Z,0,Z,0.19,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3670000,2000-05-04,00:00:00,Yes,0,21,,7.3,,7.3,,453,,50,,0,\N,27,,33,,0,,0,Z,0,Z,0,Z,0.18,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3670000,2000-05-18,00:00:00,Yes,0,22.3,,7.5,,7.5,,709,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3670000,2000-06-05,00:00:00,Yes,0,22.2,,7.2,,6.7,,675,,200,,0,\N,9.8,,26,,0,,0,Z,0,Z,0,Z,0.1,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3670000,2000-06-19,00:00:00,Yes,0,27.1,,7.3,,6.3,,804,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3670000,2000-07-06,00:00:00,Yes,0,26.8,,7.4,,6.8,,746,,240,,0,\N,7.9,,17,,0,,0,Z,0,Z,0,Z,0.15,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3670000,2000-07-19,00:00:00,Yes,0,27.2,,6.9,,7.7,,649,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3670000,2000-08-02,00:00:00,Yes,0,24.4,,6.7,,5.6,,143,,6000,>,0,\N,150,,144,,0,,0,Z,0.8,,0,Z,0.02,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3670000,2000-08-21,00:00:00,Yes,0,22.2,,7.4,,7.5,,728,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3670000,2000-09-06,00:00:00,Yes,0,20.4,,7.5,,7.1,,268,,550,,0,\N,38,,35,,0,,0,Z,0,Z,0,Z,0.14,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3670000,2000-09-20,00:00:00,Yes,0,22,,7.1,,7.5,,557,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3670000,2000-10-10,00:00:00,Yes,0,12.8,,7.6,,9.7,,782,,160,,0,\N,2.9,,10,,0,,0.04,,0.4,,0,Z,0.21,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3670000,2000-11-20,00:00:00,Yes,0,7.8,,7,,8.6,,718,,46,,0,\N,2.4,,7,,0,,0.11,,1.5,,8.59,,0.94,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3670000,2000-12-05,00:00:00,Yes,0,6.9,,7.1,,8.2,,548,,24,,0,\N,13,,3,,0,,0.04,,1.5,,7.67,,0.91,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3670000,2001-01-17,00:00:00,Yes,0,7.5,,7,,10.8,,558,,4,,0,\N,13.4,,8.7,,0,,0.13,,1.7,,9.39,,1.28,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3670000,2001-02-15,00:00:00,Yes,0,10.2,,7.2,,9.3,,421,,58,,0,\N,19,,8,,0,,0.01,<,1.2,,4.3,,0.58,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3670000,2001-03-14,00:00:00,Yes,0,14,,7.2,,7.9,,519,,34,,0,\N,33,,32,,0,,0.14,,1.4,,8.4,,0.86,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3670000,2001-04-05,00:00:00,Yes,0,12.6,,7.1,,8.7,,213,,62,,0,\N,55,J1,20.7,,0,,0.08,,0.9,,3.2,,0.13,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3670000,2001-04-24,00:00:00,Yes,0,21.2,,7.3,,7.7,,804,,0,,0,\N,0,,0,,0,,0.11,,1.5,,13,,0.21,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3670000,2001-05-10,00:00:00,Yes,0,20.7,,7.1,,6.4,,907,,72,,0,\N,30,,22.5,,0,,0.82,,2.2,,15,,0.15,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3670000,2001-05-29,00:00:00,Yes,0,18.9,,6.8,,6.6,,350,,0,,0,\N,0,,0,,0,,0.09,,1,,4,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3670000,2001-06-14,00:00:00,Yes,0,23.3,,7,,5.3,,721,,780,,0,\N,22,,37,,0,,0.11,,1.2,,18.9,,0.15,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3670000,2001-06-26,00:00:00,Yes,0,26,,7.2,,5,,260,,0,,0,\N,0,,0,,0,,0.09,,1.1,,3.94,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3670000,2001-07-02,00:00:00,Yes,0,26.4,,7.6,,6.5,,736,,88,,0,\N,19,,30.4,,0,,0.05,,1.3,,16.1,,0.01,<,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3670000,2001-07-10,00:00:00,Yes,0,27.5,,7.2,,6.6,,536,,0,,0,\N,0,,0,,0,,0.06,,1,,9.91,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3670000,2001-08-01,00:00:00,Yes,0,22.1,,7,,5.8,,527,,760,,0,\N,23,,40,,0,,0.09,,1.1,,8.82,,0.04,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3670000,2001-08-16,00:00:00,Yes,0,25.2,,6.8,,5.5,,428,,0,,0,\N,0,,0,,0,,0.01,,1,,8.11,,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3670000,2001-09-03,00:00:00,Yes,0,23.1,,7.2,,5.8,,304,,64,,0,\N,33,,27.5,,0,,0.07,,1.2,,1.02,,0.1,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3670000,2001-09-17,00:00:00,Yes,0,20,,7,,8.3,,663,,0,,0,\N,0,,0,,0,,0.09,,1.2,,21.5,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3670000,2001-10-02,00:00:00,Yes,0,17.4,,7.3,,8.1,,736,,120,,0,\N,8.2,,9.5,,0,,0.05,,1.2,,17.8,,0.12,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3670000,2001-10-13,00:00:00,Yes,0,19.2,,7.4,,8,,492,,0,,0,\N,0,,0,,0,,0.02,,0.1,<,0.35,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3670000,2001-11-01,00:00:00,Yes,0,14.1,,7.1,,7.5,,667,,25,,0,\N,5,,3.7,,0,,0.11,,0.7,,16.2,,0.14,,0.5,<,10,J2,8.5,,0,Z,0.5,<,74,,240,,240,,38,,0.2,<,5,<,0,
B3670000,2001-12-13,00:00:00,Yes,0,12.3,,7.2,,8.3,,289,,820,,0,\N,35,,28,,0,,0.06,,0.9,,5.09,,0.28,,0.5,<,20,<,8.2,V,5,<,2,,55,V,1460,,1436,,95,,0.2,<,5,<,0,
B3670000,2002-01-02,00:00:00,Yes,0,1,,7,,9,,607,,2,B2,0,\N,5.4,,3,,0,,0.39,,1.3,,4.33,,0.34,,0.5,<,20,<,4.9,V,6.8,,2,<,31,,237,,668,,61,,0.2,<,10,<,0,
