Data was downloaded on July 6 2026 2:04 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B3899180/UCFRBA_24,3030002,35.89870,-79.02630,"Morgan Crk at Mason Farm WWTP Entrance at Chapel Hill","Orange","ups OWASA","WS-IV NSW",CPF06,yes

Query Results: 
Stations:B3899180	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B3899180,2000-04-26,00:00:00,Yes,0,13,,7,,8.7,,116,,100,,0,\N,5.9,,5.5,,0,,0,Z,0,Z,0,Z,0.06,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3899180,2000-05-04,00:00:00,Yes,0,19.8,,7.4,,7.8,,120,,44,,0,\N,4.8,,5.5,,0,,0,Z,0,Z,0,Z,0.06,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3899180,2000-05-18,00:00:00,Yes,0,21.8,,7.7,,7.6,,151,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3899180,2000-06-05,00:00:00,Yes,0,21.8,,7.4,,7.1,,151,,1000,,0,\N,3,,6,,0,,0,Z,0,Z,0,Z,0.02,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3899180,2000-06-19,00:00:00,Yes,0,25.8,,7.4,,6.3,,146,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3899180,2000-07-06,00:00:00,Yes,0,26.2,,7.3,,6.2,,142,,1200,,0,\N,5.1,,4,,0,,0,Z,0,Z,0,Z,0.06,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3899180,2000-07-19,00:00:00,Yes,0,26.6,,7,,7.3,,173,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3899180,2000-08-02,00:00:00,Yes,0,25.9,,7.1,,7.1,,101,,6000,>,0,\N,16,,28,,0,,0,Z,0.5,,0,Z,0.08,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3899180,2000-08-21,00:00:00,Yes,0,21.8,,7.6,,7.9,,173,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3899180,2000-09-06,00:00:00,Yes,0,19.6,,7.4,,7.7,,159,,410,,0,\N,14,,10,,0,,0,Z,0,Z,0,Z,0.07,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3899180,2000-09-20,00:00:00,Yes,0,22.6,,6.6,,7.1,,156,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3899180,2000-10-10,00:00:00,Yes,0,12.3,,7.5,,9.7,,205,,110,,0,\N,0.4,<,2,,0,,0,Z,0.8,,0,Z,0.31,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3899180,2000-11-20,00:00:00,Yes,0,7.9,,7.4,,10.1,,967,,720,,0,\N,3.2,,4.5,,0,,0.04,,0.2,,0.44,,0.04,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3899180,2000-12-05,00:00:00,Yes,0,4.9,,7.5,,9.9,,202,,33,,0,\N,4.3,,2.5,,0,,0.06,,0.1,<,0.29,,0.01,<,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
