Data was downloaded on July 6 2026 2:04 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B3900000/UCFRBA_25,3030002,35.86120,-79.01000,"Morgan Crk at SR 1726 Old Farrington Rd nr Farrington","Chatham","dns OWASA; DWQ ambient stn","WS-IV NSW",CPF06,yes

Query Results: 
Stations:B3900000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B3900000,2000-04-26,00:00:00,Yes,0,13,,6.5,,7.3,,227,,42,,0,\N,9.4,,12.5,,0,,0,Z,0,Z,0,Z,0.13,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3900000,2000-05-04,00:00:00,Yes,0,21.9,,7.4,,6.6,,219,,120,,0,\N,11,,27,,0,,0,Z,0,Z,0,Z,0.15,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3900000,2000-05-18,00:00:00,Yes,0,23.6,,7.5,,6.2,,323,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3900000,2000-06-05,00:00:00,Yes,0,22.6,,7.1,,5.8,,314,,260,,0,\N,4.2,,10,,0,,0,Z,0,Z,0,Z,0.09,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3900000,2000-06-19,00:00:00,Yes,0,27.8,,7.3,,5.2,,353,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3900000,2000-07-06,00:00:00,Yes,0,27.1,,7.3,,5.3,,339,,200,,0,\N,4.4,,6,,0,,0,Z,0,Z,0,Z,0.18,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3900000,2000-07-19,00:00:00,Yes,0,27.3,,7,,6.2,,371,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3900000,2000-08-02,00:00:00,Yes,0,26,,6.8,,6.2,,183,,3400,,0,\N,70,,47,,0,,0,Z,0.7,,0,Z,0.01,<,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3900000,2000-08-21,00:00:00,Yes,0,22.7,,7.4,,6.3,,405,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3900000,2000-09-06,00:00:00,Yes,0,20.6,,7.3,,6.5,,274,,110,,0,\N,8.2,,12,,0,,0,Z,0,Z,0,Z,0.13,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B3900000,2000-09-20,00:00:00,Yes,0,22.5,,7.2,,6.8,,257,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B3900000,2000-10-10,00:00:00,Yes,0,12.9,,7.3,,8.3,,388,,130,,0,\N,2,,5,,0,,0,Z,0.7,,0,Z,0.29,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
