Data was downloaded on July 6 2026 2:04 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B4080000/UCFRBA_26,3030002,35.61640,-79.05690,"Haw Riv at SR 1011 Old US 1 nr Haywood","Chatham","dns Honeywell; ups Neste Resins","WS-IV",CPF04,yes

Query Results: 
Stations:B4080000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B4080000,2000-04-26,00:00:00,Yes,0,17,,7.2,,8.5,,114,,3,,0,\N,9.1,,13.3,,0,,0,Z,0,Z,0,Z,0.07,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4080000,2000-05-04,00:00:00,Yes,0,17.7,,7.2,,7.9,,122,,21,,0,\N,8.9,,9,,0,,0,Z,0,Z,0,Z,0.07,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4080000,2000-05-18,00:00:00,Yes,0,22.2,,7.3,,6.4,,126,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4080000,2000-06-05,00:00:00,Yes,0,23.7,,6.8,,5.3,,189,,10,,0,\N,2.9,,10,,0,,0,Z,0,Z,0,Z,0.03,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4080000,2000-06-19,00:00:00,Yes,0,25.7,,7.1,,5.5,,189,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4080000,2000-07-06,00:00:00,Yes,0,26.2,,7.2,,6.2,,199,,11,,0,\N,6.4,,16,,0,,0,Z,0,Z,0,Z,0.04,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4080000,2000-07-19,00:00:00,Yes,0,27.6,,6.7,,5.6,,195,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4080000,2000-08-02,00:00:00,Yes,0,26.4,,6.3,,5.7,,162,,220,,0,\N,4.7,,7,,0,,0,Z,0.4,,0,Z,0.04,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4080000,2000-08-21,00:00:00,Yes,0,26,,7.3,,5.6,,187,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4080000,2000-09-06,00:00:00,Yes,0,23.4,,7,,5.6,,198,,28,,0,\N,6.3,,6,,0,,0,Z,0,Z,0,Z,0.12,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4080000,2000-09-22,00:00:00,Yes,0,22.9,,7.3,,7.4,,185,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4080000,2000-10-10,00:00:00,Yes,0,18.2,,7.4,,6.2,,178,,8,,0,\N,2.5,,23,,0,,0,,0,,0,,0.23,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4080000,2000-11-20,00:00:00,Yes,0,11.8,,7.4,,8.2,,243,,36,,0,\N,8.9,,14,,0,,0.06,,1,,0.19,,0.1,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4080000,2000-12-05,00:00:00,Yes,0,7,,6.9,,10.1,,238,,27,,0,\N,10,,8,,0,,0.1,,0.9,,0.31,,0.07,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4080000,2001-01-17,00:00:00,Yes,0,5,,7.7,,12.3,,242,,11,,0,\N,5.4,,4,,0,,0.25,,1.1,,1.22,,0.11,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4080000,2001-02-15,00:00:00,Yes,0,9.4,,7.4,,10,,221,,15,,0,\N,18,,8.7,,0,,0.11,,1,,1.05,,0.07,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4080000,2001-03-14,00:00:00,Yes,0,11,,7.3,,9.4,,169,,13,,0,\N,15,,15,,0,,0.14,,0.8,,0.7,,0.1,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4080000,2001-04-05,00:00:00,Yes,0,11.7,,7.2,,10.3,,118,,340,,0,\N,45,J1,16.5,,0,,0.09,,0.8,,0.57,,0.1,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4080000,2001-04-24,00:00:00,Yes,0,15.2,,6.8,,8.7,,193,,0,,0,\N,0,,0,,0,,0.34,,0.9,,0.46,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4080000,2001-05-10,00:00:00,Yes,0,21,,7.2,,6.9,,183,,88,,0,\N,8.7,,5,,0,,0.09,,0.6,,0.3,,0.07,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4080000,2001-05-29,00:00:00,Yes,0,21.8,,7.4,,6.8,,239,,0,,0,\N,0,,0,,0,,0.09,,0.8,,0.56,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4080000,2001-06-14,00:00:00,Yes,0,24.5,,6.8,,5.4,,168,,1418,,0,\N,13,,14.4,,0,,0.1,,0.7,,0.29,,0.09,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4080000,2001-06-26,00:00:00,Yes,0,26.7,,6.5,,5.1,,181,,0,,0,\N,0,,0,,0,,0.07,,0.8,,0.21,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4080000,2001-07-02,00:00:00,Yes,0,26.2,,7.4,,6.3,,179,,13,,0,\N,8.8,,13.6,,0,,0.18,,0.8,,0.18,,0.08,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4080000,2001-07-10,00:00:00,Yes,0,26.4,,7,,6.3,,204,,0,,0,\N,0,,0,,0,,0.19,,0.7,,0.18,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4080000,2001-08-01,00:00:00,Yes,0,25.3,,7.6,,6.2,,236,,82,,0,\N,7,,16.5,,0,,0.16,,0.9,,0.52,,0.1,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4080000,2001-08-16,00:00:00,Yes,0,24.8,,6.7,,6.7,,179,,0,,0,\N,0,,0,,0,,0.51,,1.4,,0.24,,0.18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4080000,2001-09-03,00:00:00,Yes,0,26.5,,7.2,,5,,194,,2,,0,\N,4,,7.5,,0,,0.1,,0.8,,0.1,,0.04,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4080000,2001-09-17,00:00:00,Yes,0,23.8,,6.9,,6.6,,178,,0,,0,\N,0,,0,,0,,0.09,,0.7,,0.19,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4080000,2001-10-02,00:00:00,Yes,0,20.5,,7.2,,6.2,,225,,54,,0,\N,4.7,,9.5,,0,,0.07,,0.5,,0.58,,0.08,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4080000,2001-10-13,00:00:00,Yes,0,19.2,,7.4,,8.6,,304,,0,,0,\N,0,,0,,0,,0.3,,0.6,,0.01,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4080000,2001-11-01,00:00:00,Yes,0,15.9,,6.9,,7.5,,230,,12,,0,\N,4.2,,17,,0,,0.16,,0.8,,0.36,,0.08,,0.5,<,10,J2,2.2,,0,Z,0.5,<,40,,230,,360,,120,,0.2,<,5,<,0,
B4080000,2001-12-13,00:00:00,Yes,0,13.6,,7,,9.2,,238,,15,,0,\N,11,,16,,0,,0.18,,0.9,,0.28,,0.08,,0.5,<,20,<,2.8,V,5,<,0.9,,10,< V,301,,442,,118,,0.2,<,5,<,0,
B4080000,2002-01-02,00:00:00,Yes,0,1,<,6.9,,8.7,,189,,4,B1,0,\N,4.4,,3,,0,,0.08,,0.8,,1.44,,0.19,,0.5,<,20,<,4.4,V,5,<,2,<,27,,186,,646,,20,,0.2,<,10,<,0,
B4080000,2002-02-05,00:00:00,Yes,0,7.1,,7.1,,9.1,,163,,22,B1,0,\N,21,,11,,0,,0.16,,0.7,,0.83,,0.1,,0.5,<,20,<,3.8,V,5,<,1.1,,11,,1050,,1210,,90,,0.2,<,10,<,0,
B4080000,2002-03-05,00:00:00,Yes,0,8.2,,7.3,,10.4,,187,,4,J4 B1,0,\N,7.4,,9.3,,0,,0.02,,0.8,,0.74,,0.08,,0.5,<,20,<,3.4,V,5,<,2,<,16,,140,,140,,76,,0.2,<,5,<,0,
B4080000,2002-04-02,00:00:00,Yes,0,14.6,,6.9,,9.4,,193,,12,,0,\N,4.4,,11,,0,,0.19,,0.8,,0.53,,0.08,,0.1,<,10,<,2,<,5,<,0.7,,10,<,200,,420,,110,,0.2,<,5,<,0,
B4080000,2002-05-02,00:00:00,Yes,0,21.2,,6.9,,7.6,,209,,2,B1,0,\N,5.9,,9.8,,0,,0.09,,1,,0.47,,0.07,,0.5,<,20,<,5.1,,5,<,0.5,<,10,<,90,,520,,60,,0.2,<,10,<,0,
B4080000,2002-05-20,00:00:00,Yes,0,20,,6.8,,7.7,,229,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4080000,2002-06-03,00:00:00,Yes,0,24,,6.8,,7.2,,236,,7,B1,0,\N,3.8,,6.8,,0,,0.07,,0.8,,0.29,,0.07,,0.5,<,20,<,2,,5,<,2,<,10,<,66,,160,,71,,0.2,<,5,<,0,
B4080000,2002-06-14,00:00:00,Yes,0,25.4,,6.8,,6.9,,237,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4080000,2002-07-01,00:00:00,Yes,0,27.6,,7.3,,5.7,,266,,44,,0,\N,7.1,,7.8,,0,,0.02,,0.9,,0.06,,0.07,,0.5,<,10,<,2,,5,<,5,<,10,<,79,,150,,140,,0.2,<,5,<,0,
B4080000,2002-07-12,00:00:00,Yes,0,26.8,,7.2,,6.8,,296,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4080000,2002-08-02,00:00:00,Yes,0,29.6,,7.5,,4,,365,,72,,0,\N,8,,8.2,,0,,0.09,,1.1,,0.1,,0.08,,0.5,<,10,<,2.5,,5,<,0.5,<,10,<,59,,130,,210,,0.2,<,5,<,0,
B4080000,2002-08-19,00:00:00,Yes,0,29.7,,7.4,,5.5,,310,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4080000,2002-09-02,11:55:00,Yes,0.1,24,,7.1,,4.9,,297,,91,B4,0,\N,9.8,,8.8,,0,,0.26,,0.9,,2.02,,0.07,,0.5,U,10,U,2,U,5,U,0.5,U,10,U,120,,260,,180,,0.2,U,5,U,0,
B4080000,2002-09-18,10:02:00,Yes,0.1,25,,6.9,,5.8,,213,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4080000,2002-10-02,10:51:00,Yes,0.1,26,,7.8,,7.6,,223,,94,,0,\N,7.2,,9.7,,0,,0.03,,1.1,,0.1,,0.08,,0.5,U,19,,2,U,5,U,2,U,10,U,140,,250,,110,,0.2,U,5,U,0,
