Data was downloaded on July 6 2026 2:04 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B4350000/UCFRBA_29,3030003,35.95940,-79.90610,"Deep Riv at SR 1113 Kivett Dr nr Hayworth Spring","Guilford","ups Richland Creek","WS-IV CA",CPF08,yes

Query Results: 
Stations:B4350000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B4350000,2000-04-27,00:00:00,Yes,0,14,,7.2,,7.9,,134,,76,,0,\N,7.4,,4,,0,,0,Z,0,Z,0,Z,0.08,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4350000,2000-05-05,00:00:00,Yes,0,17.9,,7.3,,6.7,,138,,80,,0,\N,4.1,,2,,0,,0,Z,0,Z,0,Z,0.12,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4350000,2000-05-19,00:00:00,Yes,0,20.6,,7.1,,4.6,,176,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4350000,2000-06-06,00:00:00,Yes,0,20.3,,7.2,,5.7,,148,,280,,0,\N,4.5,,2,,0,,0,Z,0,Z,0,Z,0.02,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4350000,2000-06-20,00:00:00,Yes,0,23.1,,7,,3.6,,178,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4350000,2000-07-07,00:00:00,Yes,0,24.1,,7,,3.9,,169,,1200,,0,\N,6.1,,4,,0,,0,Z,0,Z,0,Z,0.04,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4350000,2000-07-20,00:00:00,Yes,0,23.4,,6.9,,4,,181,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4350000,2000-08-03,00:00:00,Yes,0,24,,7.3,,4.5,,121,,570,,0,\N,40,,4,,0,,0,Z,0.3,,0,Z,0.02,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4350000,2000-08-22,00:00:00,Yes,0,19.1,,6.9,,5.6,,146,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4350000,2000-09-07,00:00:00,Yes,0,19.2,,7.2,,6.2,,107,,110,,0,\N,39,,7,,0,,0,Z,0,Z,0,Z,0.05,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4350000,2000-09-21,00:00:00,Yes,0,21.2,,6.7,,6.8,,102,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4350000,2000-10-11,00:00:00,Yes,0,9.2,,7.1,,7.4,,157,,44,,0,\N,4.4,,1,<,0,,0.03,,0.1,<,0,Z,0.05,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B4350000,2000-11-21,00:00:00,Yes,0,4.9,,7.5,,8.7,,175,,660,,0,\N,7.4,,3,,0,,0.02,,0.8,,0.08,,0.01,<,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
