Data was downloaded on July 6 2026 2:06 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B4378000/UCFRBA_48,3030003,35.95000,-79.95000,"RICHLAND CRK AT SR 1193 BAKER RD NR HIGH POINT","Guilford","","WS-IV",CPF08,no

Query Results: 
Stations:B4378000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B4378000,2000-04-27,00:00:00,Yes,0,13,,7,,8.6,,140,,5600,,0,\N,40,,18,,0,,0,Z,0,Z,0,Z,0.08,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4378000,2000-05-05,00:00:00,Yes,0,17.6,,7.6,,8.4,,227,,290,,0,\N,4.3,,2,,0,,0,Z,0,Z,0,Z,0.03,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4378000,2000-05-19,00:00:00,Yes,0,21.2,,7.7,,7.1,,211,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4378000,2000-06-06,00:00:00,Yes,0,20.5,,7.1,,7.5,,157,,5000,,0,\N,10,,1,,0,,0,Z,0,Z,0,Z,0.02,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4378000,2000-06-20,00:00:00,Yes,0,22.8,,7.3,,7.2,,206,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4378000,2000-07-07,00:00:00,Yes,0,23.5,,7.2,,6.7,,57,,19000,>,0,\N,560,,644,,0,,0,Z,0,Z,0,Z,0.05,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4378000,2000-07-20,00:00:00,Yes,0,23.5,,7.6,,7.7,,242,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4378000,2000-08-03,00:00:00,Yes,0,23,,7.4,,6.3,,204,,6000,>,0,\N,5.7,,6,,0,,0,Z,0.2,,0,Z,0.03,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4378000,2000-08-22,00:00:00,Yes,0,19.6,,7.1,,8.1,,214,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4378000,2000-09-07,00:00:00,Yes,0,17.7,,7.1,,7.7,,190,,460,,0,\N,1.8,,4,,0,,0,Z,0,Z,0,Z,0.01,<,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4378000,2000-09-21,00:00:00,Yes,0,21.5,,7.5,,6.9,,180,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4378000,2000-10-11,00:00:00,Yes,0,9.6,,7.9,,9.9,,203,,240,,0,\N,0.4,<,1,<,0,,0.02,,0.1,,0,Z,0.02,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4378000,2000-11-21,00:00:00,Yes,0,4.5,,7.5,,9.9,,156,,1000,,0,\N,5.1,,2,,0,,0.02,,0.3,,0.27,,0.02,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
