Data was downloaded on July 6 2026 2:04 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B4380000/UCFRBA_28,3030003,35.94100,-79.93220,"Richland Crk at SR 1154 Kersey Valley Rd nr High point","Guilford","ups High Point Eastside WWTP; Fecal Coliform TMDL","WS-IV CA*",CPF08,yes

Query Results: 
Stations:B4380000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B4380000,2004-01-23,10:14:00,Yes,0.1,2,,7.15,,11.9,,194,,140,,0,\N,4,,2.2,,0,,0.22,,0.49,,0.4,J2,0.01,U,1,U,10,U,2,U,5,U,2,U,20,,50,U,800,,0,,0.2,U,5,U,0,
B4380000,2004-02-10,10:00:00,Yes,0.1,4,,7,,11.5,,225,,14,B1,0,\N,5.1,,9.3,,0,,0.24,,0.5,,0.6,,0.01,,0.5,U,10,U,2,U,5,U,2,U,10,U,300,,800,,0,,0.2,U,5,U,0,
B4380000,2004-03-02,09:55:00,Yes,0.1,8,,7.05,,10.5,,193,,760,Q,0,\N,54,,14,,0,,0.12,,0.5,,0.67,,0.09,,0.5,U,10,U,5,,5,U,2,U,29,,931,,1600,,0,,0.2,U,5,U,0,
B4380000,2004-03-03,16:00:00,Yes,0.1,13,,6.88,,9.8,,214,,170,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4380000,2004-04-16,10:10:00,Yes,0.1,12,,6.55,,9.1,,296,,0,X3,0,\N,3.6,,3.4,,0,,0.26,,1.2,,0.61,,0.04,,0.5,U,10,U,3.1,,5,U,2,U,12,,143,,435,,0,,0.2,U,5,U,0,
B4380000,2004-05-04,09:40:00,Yes,0.1,13,,7.58,,5.5,,154,,3600,B4,0,\N,11,,4.9,,0,,0.64,,1,,0.71,,0.06,,0.5,U,10,U,3.8,,5,U,2,U,10,U,337,,849,,0,,0.2,U,5,U,0,
B4380000,2004-05-20,09:40:00,Yes,0.1,23,,6.7,,6.8,,170,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4380000,2004-06-01,09:40:00,Yes,0.1,23,,7.49,,5.4,,201,,560,,0,\N,5,,2.8,,0,,0.16,,1.7,,0.83,,0.02,,1,U,10,U,3,,5,U,10,U,46,,146,,454,,0,,0.2,U,5,U,0,
B4380000,2004-06-17,09:52:00,Yes,0.1,25,,7.41,,5,,180,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4380000,2004-07-07,10:27:00,Yes,0.1,27,,7.24,,5,,201,,780,,0,\N,5,,3.5,,0,,0.08,,0.6,,0.39,,0.02,,1,U,10,U,2,,5,U,10,U,10,U,186,,457,,97,,0.2,U,5,U,0,
B4380000,2004-07-19,14:11:00,Yes,0.1,26,,7.29,,5.7,,157,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4380000,2004-08-03,00:46:00,Yes,0.1,24.4,,7.2,,8.2,,113,,1200,B5,0,\N,20,,17,,0,,0.07,,0.5,,0.45,,0.32,,2,U,5,U,7,,10,U,10,U,20,,922,,1310,,0,,0.2,U,10,U,0,
B4380000,2004-08-11,10:49:00,Yes,0.1,22.4,,7.4,,8.6,,201,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4380000,2004-09-02,13:13:00,Yes,0.1,23.8,,7.4,,8.5,,180,,248,,0,\N,2,,2,,0,,0.06,,0.2,U,0.33,,0.05,,2,U,5,U,2,,10,U,10,U,10,U,165,,338,,0,,0.2,U,10,U,0,
B4380000,2004-09-10,14:10:00,Yes,0.1,22.4,,6.8,,9.1,,191,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4380000,2004-10-14,14:37:00,Yes,0.1,18.7,,7,,8.8,,149,,1600,B1,0,\N,10,,3,,0,,0.08,,0.4,,0.63,,0.02,U,2,U,5,U,4,,10,U,10,U,10,U,373,,550,,0,,0.2,U,10,U,0,
B4380000,2004-11-03,15:03:00,Yes,0.1,19.6,,7.4,,10.1,,214,,48,,0,\N,1,,1,U,0,,0.05,,0.3,,0.14,,0.02,U,2,U,5,U,2,U,10,U,10,U,10,U,100,,355,,0,,0.2,U,10,U,0,
B4380000,2004-12-13,14:55:00,Yes,0.1,8.9,,6.95,,12,,194,,330,,0,\N,10,,2,,0,,0.07,,0.3,,0.74,,0.03,,2,U,5,U,2,,10,U,10,U,10,U,287,,850,,0,,0.2,U,10,U,0,
B4380000,2005-01-27,13:45:00,Yes,0.1,6.4,,7.17,,13.3,,251,,20,,0,\N,4.8,,1,U,0,,0.08,,0.3,,0.72,,0.02,U,2,U,5,U,3,,10,U,10,U,10,U,139,,584,,0,,0.2,U,10,U,0,
B4380000,2005-02-22,11:03:00,Yes,0.1,10,,7.16,,12,,192,,200,B1,0,\N,9.7,,4,,0,,0.08,,0.7,,0.57,,0.02,U,2,U,5,U,2,U,10,U,10,U,11,,181,,656,,0,,0.2,U,10,U,0,
B4380000,2005-03-29,15:01:00,Yes,0.1,15.7,,6.84,,11.6,,133,,6800,,0,\N,34.8,,19,,0,,0.13,,0.9,,0.6,,0.09,,2,U,5,U,5,,10,U,10,U,43,,1520,,1950,,0,,0.2,U,10,U,0,
B4380000,2005-04-19,14:08:00,Yes,0.1,18.9,,7.34,,11.6,,214,,80,B1,0,\N,3.6,,1,U,0,,0.1,,0.3,,0.31,,0.02,U,2,U,5,U,2,U,10,U,10,U,10,U,98,,543,,0,,0.2,U,10,U,0,
B4380000,2005-05-13,15:11:00,Yes,0.1,20.4,,6.68,,7.9,,147,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4380000,2005-05-17,00:45:00,Yes,0.1,19.1,,7.16,,8.9,,180,,143,,0,\N,4.6,,2,,0,,0.12,,0.5,,0.37,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4380000,2005-06-10,14:16:00,Yes,0.1,25,,6.64,,7.9,,100,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4380000,2005-06-29,15:01:00,Yes,0.1,24.8,,6.94,,8,,168,,1500,B1,0,\N,5.5,,3,,0,,0.23,,0.4,,0.66,,0.02,U,2,U,5,U,2,U,10,U,10,U,10,U,272,,380,,140,,0,,10,U,0,
B4380000,2005-07-19,14:42:00,Yes,0.1,28.7,,7.34,,7.2,,172,,390,,0,\N,3.4,,3,,0,,0.07,,0.4,,0.39,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4380000,2005-07-29,14:28:00,Yes,0.1,22.9,,5.79,,7.6,,38,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4380000,2005-08-12,13:26:00,Yes,0.1,26.3,,7.15,,8,,214,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4380000,2005-08-22,14:50:00,Yes,0.1,27.1,,7.22,,8.4,,195,,455,,0,\N,2.8,,1,,0,,0.06,,0.7,,1.45,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4380000,2005-09-06,13:54:00,Yes,0.1,23,,7.06,,8.6,,202,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4380000,2005-09-19,14:29:00,Yes,0.1,24.8,,7.33,,8,,197,,156,,0,\N,1.8,,5,,0,,0.02,U,0.5,,0.6,,0.02,U,2,U,5,U,2,U,10,U,10,U,10,U,50,U,127,,51,,0,,10,U,0,
B4380000,2005-10-21,14:07:00,Yes,0.1,18.9,,7.7,,9.8,,216,,63,B1,0,\N,1.8,,1,U,0,,0.02,U,0.2,U,0.76,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4380000,2005-11-14,14:27:00,Yes,0.1,13.9,,7.49,,11.4,,217,,28,,0,\N,1.6,,1,U,0,,0.02,U,0.4,,0.37,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4380000,2005-12-19,14:20:00,Yes,0.1,5.7,,7,,13,,193,,32,,0,\N,7.7,,2,,0,,0.05,,0.2,U,0.82,,0.02,U,2,U,5,U,2,U,10,U,10,U,11,,243,,538,,138,,0,,10,U,0,
B4380000,2006-01-10,13:56:00,Yes,0.1,8.6,,7.35,,13.9,,198,,40,,0,\N,4.7,,2,,0,,0.07,,0.2,,0.58,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4380000,2006-02-07,13:17:00,Yes,0.1,7.4,,7.53,,11.9,,189,,47,,0,\N,3.6,,1,U,0,,0.06,,0.2,U,0.38,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4380000,2006-03-28,14:05:00,Yes,0.1,11.4,,7.58,,11,,175,,15,,0,\N,2.3,,3,,0,,0.06,,0.2,U,0.22,,0.02,U,2,U,5,U,2,U,10,U,10,U,10,U,86,,335,,100,,0,,10,U,0,
B4380000,2006-04-13,13:45:00,Yes,0.1,18.4,,7.39,,9.8,,205,,41,,0,\N,3.2,,3,,0,,0.12,,0.3,,0.23,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4380000,2006-05-09,14:21:00,Yes,0.1,14.5,,7,,8.4,,135,,560,,0,\N,5.4,,4,,0,,0.12,,0.4,,0.5,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4380000,2006-05-22,15:42:00,Yes,0.1,19.4,,7.35,,7.7,,178,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
