Data was downloaded on July 6 2026 2:04 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B4410000/UCFRBA_30A,3030003,35.94060,-79.90230,"Richland Creek at SR 1145 Riverdale Rd. nr High point","Guilford","dns High Point Eastside WWTP, discontinued on June, 2008","WS-IV CA*",CPF08,no

Query Results: 
Stations:B4410000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B4410000,2005-05-13,14:41:00,Yes,0.1,20.8,,6.99,,8.1,,483,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4410000,2005-05-17,00:05:00,Yes,0.1,19.9,,7.03,,8.9,,444,,54,,0,\N,2,,6,,0,,0.07,,1,,2.29,,0.18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4410000,2005-06-10,13:45:00,Yes,0.1,24.6,,6.9,,7.8,,444,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4410000,2005-06-29,14:20:00,Yes,0.1,24.7,,7.1,,7.4,,449,,152,B1,0,\N,2.6,,1,U,0,,0.1,,0.9,,1.71,,3.05,,2,U,5,U,2,,10,U,10,U,39,,128,,282,,87,,0,,10,U,0,
B4410000,2005-07-19,14:03:00,Yes,0.1,26.5,,7.01,,7.7,,460,,19,,0,\N,1.3,,1,,0,,0.02,,0.8,,5.37,,4.38,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4410000,2005-07-29,13:55:00,Yes,0.1,24.1,,6.79,,7.2,,230,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4410000,2005-08-12,00:50:00,Yes,0.1,26.5,,7.01,,7.5,,488,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4410000,2005-08-22,14:17:00,Yes,0.1,27,,7.13,,7.8,,459,,100,B1,0,\N,1.9,,2,,0,,0.02,U,0.7,,2.83,,3.23,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4410000,2005-09-06,13:22:00,Yes,0.1,24.7,,7.12,,8,,438,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4410000,2005-09-19,13:54:00,Yes,0.1,25.4,,7.25,,8,,508,,130,B1,0,\N,1.8,,3,,0,,0.02,U,1.1,,3.25,,1.28,,2,U,5,U,4,,10,U,10,U,34,,54,,117,,32,,0,,10,U,0,
B4410000,2005-10-21,13:36:00,Yes,0.1,22.8,,7.17,,7.6,,610,,70,B1,0,\N,7.3,,6,,0,,0.02,U,0.6,,3.07,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4410000,2005-11-14,13:53:00,Yes,0.1,20.4,,7,,9.2,,500,,40,,0,\N,1.7,,1,,0,,0.02,U,1.2,,3.03,,0.94,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4410000,2005-12-19,13:42:00,Yes,0.1,11.1,,6.95,,11.2,,289,,35,,0,\N,4.5,,1,U,0,,0.02,U,0.3,,2.29,,0.04,,2,U,5,U,3,,10,U,10,U,34,,262,,350,,107,,0,,10,U,0,
B4410000,2006-01-10,13:22:00,Yes,0.1,13.5,,6.99,,10.8,,373,,11,,0,\N,3.3,,2,,0,,0.02,U,0.6,,2.03,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4410000,2006-02-07,00:32:00,Yes,0.1,10.8,,7.13,,10.3,,386,,8,,0,\N,2.5,,2,,0,,0.02,U,0.8,,2.65,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4410000,2006-03-28,13:32:00,Yes,0.1,15.2,,7.16,,10.1,,398,,10,,0,\N,2.2,,1,,0,,0.02,U,0.4,,2.79,,0.06,,2,U,5,U,3,,10,U,10,U,46,,156,,314,,106,,0,,10,U,0,
B4410000,2006-04-13,13:11:00,Yes,0.1,19.6,,7.09,,8.6,,479,,32,,0,\N,2.4,,2,,0,,0.04,,0.6,,2.11,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4410000,2006-05-09,13:51:00,Yes,0.1,19.2,,6.98,,8.9,,433,,200,,0,\N,2.9,,2,,0,,0.04,,0.7,,3.13,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4410000,2006-05-22,15:15:00,Yes,0.1,21,,7.24,,7.9,,475,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4410000,2006-06-16,15:45:00,Yes,0.1,24.3,,7.04,,7.4,,442,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4410000,2006-06-20,13:11:00,Yes,0.1,24.8,,6.99,,7.5,,413,,77,B4,0,\N,2.6,,2,,0,,0.02,U,0.7,,3.86,,2.41,,2,U,5,U,5,,10,U,10,U,51,,198,,259,,62,,0,,10,U,0,
B4410000,2006-07-11,11:56:00,Yes,0.1,24.1,,6.97,,8.5,,389,,420,,0,\N,2.2,,3,,0,,0.02,U,0.7,,2.45,,1.28,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4410000,2006-07-20,13:05:00,Yes,0.1,26.4,,6.92,,7.8,,451,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4410000,2006-08-21,13:03:00,Yes,0.1,26.6,,7.06,,8.5,,477,,37,,0,\N,1.7,,2,,0,,0.02,U,0.7,,1.72,,0.26,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4410000,2006-08-29,13:55:00,Yes,0.1,27.8,,6.71,,7.4,,495,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4410000,2006-09-18,14:08:00,Yes,0.1,23.9,,6.76,,7.9,,365,,220,,0,\N,6.8,,4,,0,,0.02,U,0.43,,2.57,,0.08,,2,U,5,U,4,,10,U,10,U,26,,332,,457,,89,,0,,10,U,0,
B4410000,2006-09-29,15:34:00,Yes,0.1,22.8,,7.12,,7.8,,424,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4410000,2006-10-18,13:20:00,Yes,0.1,19.6,,6.69,,8.4,,231,,12000,B5,0,\N,32.6,,21,,0,,0.02,U,0.42,,1.43,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4410000,2006-11-20,13:19:00,Yes,0.1,14.8,,7.06,,9.8,,308,,35,,0,\N,7.8,,4,,0,,0.04,,0.48,,1.72,,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4410000,2006-12-28,14:06:00,Yes,0.1,13.3,,6.76,,9.9,,272,,152,B1,0,\N,8.3,,6,,0,,0.04,,0.57,,1.69,,1.57,,2,U,5,U,3,,10,U,10,U,49,,623,,711,,104,,0,,10,U,0,
B4410000,2007-01-15,11:39:00,Yes,0.1,14.3,,6.76,,8.2,,332,,64,B4,0,\N,4.2,,1,U,0,,0.04,,0.38,,1.76,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
