Data was downloaded on July 6 2026 2:04 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B4440000/UCFRBA_30,3030003,35.93774,-79.89008,"DEEP RIV AT SR 1129 NR HIGH POINT","Guilford","Ambient station discontinued 01/07","WS-IV CA*",CPF08,no

Query Results: 
Stations:B4440000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B4440000,2000-04-27,00:00:00,Yes,0,14,,6.9,,6.5,,245,,480,,0,\N,13,,16,,0,,0,Z,0,Z,0,Z,0.42,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4440000,2000-05-05,00:00:00,Yes,0,16.4,,7.4,,7.6,,190,,80,,0,\N,4.9,,1,<,0,,0,Z,0,Z,0,Z,0.07,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4440000,2000-05-19,00:00:00,Yes,0,19.4,,7.4,,6.1,,203,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4440000,2000-06-06,00:00:00,Yes,0,21.5,,6.9,,4.7,,383,,2100,,0,\N,4.8,,12,,0,,0,Z,0,Z,0,Z,1.05,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4440000,2000-06-20,00:00:00,Yes,0,24.4,,6.9,,4.7,,464,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4440000,2000-07-07,00:00:00,Yes,0,27.5,,7,,5.1,,346,,940,,0,\N,6.4,,6,,0,,0,Z,0,Z,0,Z,1.76,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4440000,2000-07-20,00:00:00,Yes,0,26,,6.9,,4.9,,663,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4440000,2000-08-03,00:00:00,Yes,0,25,,7.1,,4.2,,398,,370,,0,\N,23,,10,,0,,0,Z,0.9,,0,Z,0.83,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4440000,2000-08-22,00:00:00,Yes,0,23,,6.8,,5.4,,436,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4440000,2000-09-07,00:00:00,Yes,0,20.6,,7.1,,5.4,,294,,540,,0,\N,22,,11,,0,,0,Z,0,Z,0,Z,0.79,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4440000,2000-09-21,00:00:00,Yes,0,22.1,,6.6,,5.8,,234,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4440000,2000-10-11,00:00:00,Yes,0,15.8,,6.9,,5.5,,458,,9300,>,0,\N,1.2,,1,,0,,0,Z,2.1,,0,Z,2.26,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4440000,2000-11-21,00:00:00,Yes,0,11,,6.8,,5.5,,421,,940,,0,\N,4.2,,3,,0,,2.15,,2.5,,5.19,,1.17,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4440000,2000-12-06,00:00:00,Yes,0,8.9,,6.9,,6.9,,477,,116,,0,\N,5.2,,3.5,,0,,1.6,,2.3,,2.89,,2.01,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4440000,2001-01-18,00:00:00,Yes,0,10.8,,7.2,,6.6,,602,,6400,,0,\N,7.5,,3.5,,0,,8.3,,13.6,,0.66,,2.62,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4440000,2001-02-16,00:00:00,Yes,0,12.8,,7,,6.3,,384,,94,,0,\N,13,,5.5,,0,,4.1,,4.6,,0.5,,1.52,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4440000,2001-03-15,00:00:00,Yes,0,14,,7.1,,6.2,,421,,148,,0,\N,11,,8,,0,,5.2,,8,,1.3,,1.3,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4440000,2001-04-06,00:00:00,Yes,0,13.2,,7.3,,7.9,,251,,900,,0,\N,22,,7.3,,0,,1.4,,2.3,,0.88,,0.25,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4440000,2001-04-25,00:00:00,Yes,0,18.3,,6.8,,4.5,,437,,0,,0,\N,0,,0,,0,,0.46,,1.5,,2.6,,0.99,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4440000,2001-05-11,00:00:00,Yes,0,20,,7,,4.1,,583,,1500,,0,\N,4.8,,8.5,,0,,0.5,,1.7,,2.1,,2,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,,0,
B4440000,2001-05-30,00:00:00,Yes,0,20.9,,6.6,,5,,351,,0,,0,\N,0,,0,,0,,0.26,,1,,3.6,,1.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4440000,2001-06-15,00:00:00,Yes,0,23.8,,7.2,,2.3,,468,,120000,>,0,\N,9,,10.7,,0,,8.72,,13.7,,0.37,,1.28,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4440000,2001-06-26,00:00:00,Yes,0,25.1,,7.1,,4.2,,325,,0,,0,\N,0,,0,,0,,0.32,,1.3,,4.85,,0.78,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4440000,2001-07-02,00:00:00,Yes,0,27.6,,6.8,,6.1,,141,,7200,,0,\N,85,,68.1,,0,,0.17,,0.9,,2.2,,0.63,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4440000,2001-07-10,00:00:00,Yes,0,25.3,,6.4,,4.6,,318,,0,,0,\N,0,,0,,0,,0.26,,1.5,,7.02,,1.01,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4440000,2001-08-02,00:00:00,Yes,0,24.2,,7.1,,4.5,,466,,92,,0,\N,6.2,,5.5,,0,,0.42,,1.6,,2.25,,2.24,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4440000,2001-08-17,00:00:00,Yes,0,26.5,,7.2,,4.4,,598,,0,,0,\N,0,,0,,0,,1.87,,1.2,,0.82,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4440000,2001-09-04,00:00:00,Yes,0,23.6,,6.7,,5.1,,362,,2,<,0,\N,14,,15.5,,0,,0.22,,1.4,,10.3,,2.15,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4440000,2001-09-19,00:00:00,Yes,0,21.6,,6.7,,4.6,,522,,0,,0,\N,0,,0,,0,,1.69,,2.8,,11.7,,3.74,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4440000,2001-10-03,00:00:00,Yes,0,20.1,,6.8,,4.9,,595,,8600,,0,\N,7.2,,7,,0,,0.73,,6,,8.8,,3.1,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4440000,2001-10-12,00:00:00,Yes,0,19.8,,6.9,,4.3,,672,,0,,0,\N,0,,0,,0,,0.42,,2,,7.4,,2.8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4440000,2001-11-02,00:00:00,Yes,0,18,,6.8,,4.6,,642,,382,B4,0,\N,2.6,,2.8,,0,,1.8,,3.1,,5.56,,3.3,,0.5,J2,10,<,2.5,,0,Z,0.5,<,24,,80,,260,J2,0,,0.2,<,5,<,0,
B4440000,2001-12-14,00:00:00,Yes,0,15.5,,6.9,,5.1,,432,,382,,0,\N,6.3,,5,,0,,0.23,,2.3,,5.29,,1.6,,0.5,<,20,<,3.7,V,5,<,2.5,,26,V,290,,371,,0,,0.2,<,5,<,0,
B4440000,2002-01-04,00:00:00,Yes,0,9.1,,7.1,,7.6,,594,,12,B1,0,\N,2.6,,7.3,,0,,23.7,,25.6,,7.82,,3.09,,0.5,<,20,<,4.8,V,5,<,2,<,46,,313,,451,,0,,0.2,<,10,<,0,
B4440000,2002-02-06,00:00:00,Yes,0,9.3,,7.1,,6.6,,542,,23,B1,0,\N,4.2,,4,,0,,7.16,,7.2,,5.85,,0.09,,0.5,<,20,<,7.1,V,5,<,1.5,,43,,302,,489,,0,,0.2,<,5,<,0,
B4440000,2002-03-06,00:00:00,Yes,0,9.7,,7,,7,,350,,18,B1,0,\N,11,,5.7,,0,,0.62,,1.6,,4.05,,1.2,,0.11,,10,<,6.7,,4.7,,4.6,,24,,470,,650,,0,,0.2,<,5,<,0,
B4440000,2002-04-03,00:00:00,Yes,0,18.3,,6.9,,7.1,,308,,7,,0,\N,7.3,,4.5,,0,,0.32,,1.1,,1.45,,1,,0.1,<,10,<,2.1,,5,<,0.7,,20,,180,,540,,0,,0.2,<,5,<,0,
B4440000,2002-05-03,00:00:00,Yes,0,20.8,,7,,3.5,,514,,378,,0,\N,3.9,,8.5,,0,,0.9,,2.4,,3.89,,2.4,,0.5,<,20,<,5.1,,5,<,2.3,,29,,100,,440,,0,,0.2,<,10,<,0,
B4440000,2002-05-21,00:00:00,Yes,0,18.4,,6.5,,3.9,,450,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
