Data was downloaded on July 6 2026 2:04 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B4621000/UCFRBA_31A,3030003,35.88360,-79.89500,"Muddy Creek at SR 1917 (Suites Road) nr Glenola","Randolph","Fecal Coliform TMDL","WS-IV",CPF08,yes

Query Results: 
Stations:B4621000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B4621000,2010-05-14,10:09:00,Yes,0.1,18.5,,6.9,,8.2,,203,,2260,,0,\N,5.1,,3,,0,,0.07,,0.46,,0.62,,0.068,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,70,
B4621000,2010-06-15,10:58:00,Yes,0.1,23.2,,6.19,,6.9,,108,,12000,B5,0,\N,92.9,,46,,0,,0.04,,0.89,,0.3,,0.129,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,32,
B4621000,2010-07-07,11:53:00,Yes,0.1,23,,7.3,,6.1,,179,,260,,0,\N,3.4,,2,,0,,0.03,,0.19,,0.36,,0.075,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,60,
B4621000,2010-08-06,10:44:00,Yes,0.1,24.1,,7.08,,6.1,,114,,12000,B5,0,\N,32.8,,13,,0,,0.02,U,0.27,,0.35,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4621000,2010-09-23,08:07:00,Yes,0.1,20.8,,7.1,,3.5,,187,,390,,0,\N,2.4,,2.5,U,0,,0.02,,0.02,U,0.13,,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4621000,2010-10-11,10:28:00,Yes,0.1,15.6,,6.4,,7.4,,184,,819,B4,0,\N,3.5,,5,,0,,0.02,U,0.27,,0.27,,0.122,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4621000,2010-11-11,11:45:00,Yes,0.1,11.1,,7.3,,8.5,,174,,95,B1,0,\N,2.4,,2.5,U,0,,0.02,U,0.2,U,0.16,,0.069,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4621000,2010-12-02,08:53:00,Yes,0.1,7.1,,7.2,,9.2,,108,,3200,B1,0,\N,21.5,,8,,0,,0.02,U,0.79,,0.16,,0.087,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4621000,2011-01-14,11:48:00,Yes,0.1,0.4,,7.1,,11.8,,550,,67,,0,\N,3.4,,2.5,U,0,,0.14,,0.53,,0.51,,0.053,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,86,
B4621000,2011-02-11,11:15:00,Yes,0.1,2.8,,6.7,,11.6,,199,,133,B1,0,\N,6.6,,2.5,U,0,,0.02,,0.58,,0.53,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,120,
