Data was downloaded on July 6 2026 2:04 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B4625000/UCFRBA_31,3030003,35.88360,-79.89500,"Muddy Crk at SR 1922 Muddy Creek Rd nr Glenola","Randolph","Fecal Coliform TMDL","WS-IV",CPF08,no

Query Results: 
Stations:B4625000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B4625000,2005-05-17,11:36:00,Yes,0.1,16.7,,7.2,,8.7,,170,,86,B4,0,\N,5.8,,3,,0,,0.03,,0.3,,0.4,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4625000,2005-08-22,13:51:00,Yes,0.1,24.1,,7.14,,7.4,,160,,280,,0,\N,3.3,,2,,0,,0.03,,0.3,,0.31,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4625000,2005-10-21,13:18:00,Yes,0.1,16.7,,7.46,,8.1,,172,,370,,0,\N,3,,1,U,0,,0.02,U,0.2,U,0.1,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4625000,2005-11-14,13:28:00,Yes,0.1,11.9,,7.27,,9.3,,147,,38,,0,\N,1.6,,1,U,0,,0.02,U,0.4,,0.02,U,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4625000,2005-12-19,13:19:00,Yes,0.1,5.1,,7.11,,12.6,,147,,160,B4,0,\N,8.4,,1,U,0,,0.02,U,0.2,U,0.6,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4625000,2006-01-10,00:59:00,Yes,0.1,8.3,,7.44,,12.6,,149,,150,B4,0,\N,6.6,,2,,0,,0.02,U,0.2,U,0.42,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4625000,2006-02-07,00:00:00,Yes,0.1,6.7,,7.85,,12.2,,148,,140,B4,0,\N,4.2,,2,,0,,0.02,U,0.2,U,0.22,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4625000,2006-03-28,13:15:00,Yes,0.1,10.9,,7.92,,12.4,,164,,76,B4,0,\N,4.3,,2,,0,,0.02,U,0.2,U,0.24,,0.28,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4625000,2006-04-13,00:48:00,Yes,0.1,17.3,,7.77,,10.4,,164,,133,,0,\N,3,,1,U,0,,0.02,U,0.2,,0.2,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4625000,2006-05-09,13:29:00,Yes,0.1,13.9,,7.24,,8.6,,130,,78,B4,0,\N,6.1,,5,,0,,0.03,,0.3,,0.34,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
