Data was downloaded on July 6 2026 2:06 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B4626000/UCFRBA_FORMER_31,3030003,35.87000,-79.88000,"MUDDY CRK AT SR 1929 CEDAR SQUARE RD NR GLENOLA","Randolph","","WS-IV",CPF08,no

Query Results: 
Stations:B4626000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B4626000,2000-04-27,00:00:00,Yes,0,13,,7.3,,8.4,,138,,160,,0,\N,7.3,,5,,0,,0,Z,0,Z,0,Z,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4626000,2000-05-05,00:00:00,Yes,0,16.3,,7.5,,7.8,,137,,110,,0,\N,6.2,,3,,0,,0,Z,0,Z,0,Z,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4626000,2000-06-06,00:00:00,Yes,0,19.5,,7.2,,7,,113,,2200,,0,\N,27,,12,,0,,0,Z,0,Z,0,Z,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4626000,2000-07-07,00:00:00,Yes,0,22.8,,7.4,,5.9,,137,,840,,0,\N,6.6,,1,,0,,0,Z,0,Z,0,Z,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4626000,2000-08-03,00:00:00,Yes,0,22,,7.3,,6,,131,,5800,,0,\N,14,,4,,0,,0,Z,0.2,,0,Z,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4626000,2000-09-07,00:00:00,Yes,0,17.5,,7,,6.9,,126,,530,,0,\N,7.3,,12,,0,,0,Z,0,Z,0,Z,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4626000,2000-10-11,00:00:00,Yes,0,8.8,,7.3,,9.3,,160,,660,,0,\N,1.3,,1,<,0,,0,Z,0.1,,0,Z,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4626000,2000-11-21,00:00:00,Yes,0,4,,7.3,,8.7,,167,,1080,,0,\N,6.9,,1.5,,0,,0.01,<,0.2,,0.11,,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4626000,2000-12-06,00:00:00,Yes,0,1.3,,7.2,,11,,190,,44,,0,\N,5.1,,1.5,,0,,0.12,,0.1,<,0.18,,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4626000,2001-01-18,00:00:00,Yes,0,5.3,,7.7,,10.9,,171,,740,,0,\N,5.6,,1,,0,,0.04,,0.2,,0.14,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
