Data was downloaded on July 6 2026 2:04 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B4770500/UCFRBA_33,3030003,35.82330,-79.80330,"Deep Riv at Bus 220 Main St at Randleman","Randolph","ups Randleman WWTP ups Hasketts Creek","C",CPF08,yes

Query Results: 
Stations:B4770500	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B4770500,2000-04-27,00:00:00,Yes,0,15,,7.4,,8.8,,237,,96,,0,\N,4.1,,1,,0,,0,Z,0,Z,0,Z,0.45,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4770500,2000-05-05,00:00:00,Yes,0,19.7,,7.7,,8.1,,261,,64,,0,\N,3.4,,5,,0,,0,Z,0,Z,0,Z,0.27,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4770500,2000-05-19,00:00:00,Yes,0,24,,7.9,,7.9,,381,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4770500,2000-06-06,00:00:00,Yes,0,22,,7,,7.2,,375,,280,,0,\N,8.6,,11,,0,,0,Z,0,Z,0,Z,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4770500,2000-06-20,00:00:00,Yes,0,25.1,,7.3,,6.5,,293,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4770500,2000-07-07,00:00:00,Yes,0,26.3,,7.4,,6.8,,311,,2700,,0,\N,10,,9,,0,,0,Z,0,Z,0,Z,1.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4770500,2000-07-20,00:00:00,Yes,0,26.1,,7.2,,6.6,,440,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4770500,2000-08-03,00:00:00,Yes,0,24,,7.1,,6.2,,176,,400,,0,\N,55,,20,,0,,0,Z,0.4,,0,Z,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4770500,2000-08-22,00:00:00,Yes,0,22.1,,7.5,,7.9,,480,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4770500,2000-09-07,00:00:00,Yes,0,19.9,,6.9,,7,,152,,290,,0,\N,28,,11,,0,,0,Z,0,Z,0,Z,0.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4770500,2000-09-21,00:00:00,Yes,0,21.3,,7.1,,8,,142,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4770500,2000-10-11,00:00:00,Yes,0,12.4,,8.1,,10.2,,394,,72,,0,\N,2.2,,3,,0,,0.02,,0.6,,0,Z,0.01,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4770500,2000-11-21,00:00:00,Yes,0,6.4,,7.6,,9.5,,424,,520,,0,\N,2.4,,1,<,0,,0.04,,0.8,,2.53,,0.86,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4770500,2000-12-06,00:00:00,Yes,0,1.3,,7.8,,11.6,,397,,66,,0,\N,4.5,,3,J2,0,,0.6,,1.2,,1.71,,0.98,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4770500,2001-01-18,00:00:00,Yes,0,6.3,,7.8,,11.4,,400,,50,,0,\N,3.8,,2,,0,,3,,4.3,,2.05,,0.77,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4770500,2001-02-16,00:00:00,Yes,0,12.1,,7.4,,7.8,,315,,80,,0,\N,13,,2,,0,,1.1,,2,,1.7,,0.89,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4770500,2001-03-15,00:00:00,Yes,0,12,,7.4,,8,,221,,220,,0,\N,20,,18,,0,,1.3,,2.3,,1.8,,0.55,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4770500,2001-04-06,00:00:00,Yes,0,12.2,,7.5,,9.1,,189,,56,,0,\N,18,,6.7,,0,,0.4,,0.9,,0.97,,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4770500,2001-04-25,00:00:00,Yes,0,16.1,,7.2,,7,,236,,0,,0,\N,0,,0,,0,,0.1,,0.9,,1.2,,0.48,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
