Data was downloaded on July 6 2026 2:04 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B4800000/UCFRBA_34,3030003,35.80070,-79.77623,"Deep Riv at SR 2122/2128 Worthville Rd at Worthville","Randolph","dns Randleman WWTP dns Worthville dam","C",CPF09,yes

Query Results: 
Stations:B4800000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B4800000,2001-04-06,00:00:00,Yes,0,12.8,,7.5,,9.5,,161,,100,,0,\N,22,,7,,3.4,,0,,0,,0,,0,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4800000,2001-04-25,00:00:00,Yes,0,18.3,,7.5,,7.3,,302,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4800000,2001-05-11,00:00:00,Yes,0,22.2,,7.6,,8.1,,377,,160,,0,\N,5.1,,5.5,,2.4,,0,,0,,0,,0,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,,0,Z,0,
B4800000,2001-05-30,00:00:00,Yes,0,21.2,,7.4,,7.9,,183,,0,,0,\N,0,,0,,0,,0.14,,0.6,,1,,0.39,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4800000,2001-06-15,00:00:00,Yes,0,25.2,,7.8,,7.6,,270,,800,est,0,\N,9.7,,7.2,,2.9,,0,,0,,0,,0,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4800000,2001-06-26,00:00:00,Yes,0,25.4,,7.5,,6.5,,463,,0,,0,\N,0,,0,,3.8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4800000,2001-07-02,00:00:00,Yes,0,27,,7.5,,7.5,,309,,32,,0,\N,4.2,,7,,5.6,,0,,0,,0,,0,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4800000,2001-07-10,00:00:00,Yes,0,26.5,,7.3,,7.5,,218,,0,,0,\N,0,,0,,17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4800000,2001-08-02,00:00:00,Yes,0,22.6,,7.6,,6.8,,211,,62,B4,0,\N,25,,6.5,,2.6,,0,,0,,0,,0,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4800000,2001-08-17,00:00:00,Yes,0,27.2,,7.1,,7.1,,294,,0,,0,\N,0,,0,,2.6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
