Data was downloaded on July 6 2026 2:05 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B4850000/UCFRBA_45,3030003,35.76450,-79.80676,"HASKETT CRK AT US 220 BUS NR NORTH ASHEBORO","Randolph","","C",CPF09,no

Query Results: 
Stations:B4850000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B4850000,2000-04-27,00:00:00,Yes,0,14,,7,,7.9,,114,,860,,0,\N,13,,11,,0,,0,Z,0,Z,0,Z,0.1,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4850000,2000-05-05,00:00:00,Yes,0,17.9,,7.2,,7.2,,139,,300,,0,\N,12,,8.7,,0,,0,Z,0,Z,0,Z,0.06,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4850000,2000-06-06,00:00:00,Yes,0,20.2,,7,,6.3,,124,,2100,,0,\N,15,,7,,0,,0,Z,0,Z,0,Z,0.06,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4850000,2000-07-07,00:00:00,Yes,0,23.7,,6.9,,5.5,,107,,5000,,0,\N,50,,48,,0,,0,Z,0,Z,0,Z,0.05,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4850000,2000-08-03,00:00:00,Yes,0,23,,6.6,,5,,99,,4300,,0,\N,14,,7,,0,,0,Z,0.4,,0,Z,0.06,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4850000,2000-09-07,00:00:00,Yes,0,18,,6.7,,5.5,,119,,280,,0,\N,15,,10,,0,Z,0,Z,0,Z,0,Z,0.07,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4850000,2000-10-11,00:00:00,Yes,0,10.6,,6.6,,6.4,,128,,200,,0,\N,2.3,,10,,0,,0.05,,0.6,,0,Z,0.05,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4850000,2000-11-21,00:00:00,Yes,0,4.9,,7.1,,9.9,,122,,480,,0,\N,15,,6,,0,,0.02,,0.3,,0.1,,0.04,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4850000,2000-12-06,00:00:00,Yes,0,3,,7.2,,9.4,,153,,154,,0,\N,3.6,,7,J2,0,,0.07,,0.1,<,0.02,,0.01,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4850000,2001-01-18,00:00:00,Yes,0,6.4,,7.4,,10,,174,,540,,0,\N,9.3,,2.5,,0,,0.01,<,0.3,,0.02,,0.04,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
