Data was downloaded on July 6 2026 2:04 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B4870000/UCFRBA_32,3030003,35.76470,-79.78620,"Haskett Crk at Asheboro WWTP Bridge nr Asheboro","Randolph","ups Asheboro WWTP","C",CPF09,yes

Query Results: 
Stations:B4870000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B4870000,2004-03-02,13:37:00,Yes,0.1,10,,6.18,,11.1,,144,,88,,0,\N,30,,10,,0,,0.19,,0.7,,0.38,,0.07,,0.5,U,10,U,4,,5,U,2,U,15,,406,,1530,,0,,0.2,U,5,U,0,
B4870000,2004-04-16,00:49:00,Yes,0.1,16,,6.45,,9.6,,180,,0,X3,0,\N,14,,10,,0,,0.11,,1.2,,0.76,,0.13,,0.5,U,10,U,3.5,,5,U,2,U,10,U,319,,974,,0,,0.2,U,5,U,0,
B4870000,2004-05-27,00:55:00,Yes,0.1,25,,7.58,,5.8,,146,,229,B4,0,\N,8.3,,6.7,,0,,0.06,,1.2,,0.26,,0.01,U,0.5,U,10,U,2,U,5,U,5.5,,10,U,338,,1150,,0,,0.2,U,5,U,0,
B4870000,2004-06-01,00:56:00,Yes,0.1,23,,7.19,,5,,99,,4200,,0,\N,33,,90.4,,0,,0.01,,1.5,,0.5,,0.11,,1,U,10,U,6,,5,U,10,U,22,,2650,,4380,,0,,0.2,U,5,U,0,
B4870000,2004-07-07,13:00:00,Yes,0.1,28,,7.45,,5.4,,127,,120,,0,\N,10,,57.6,,0,,0.02,,0.5,,0.25,,0.06,,1,U,10,U,3,,5,U,10,U,10,U,241,,1430,,0,,0.2,U,5,U,0,
B4870000,2004-08-03,10:26:00,Yes,0.1,23.7,,7.1,,6.7,,103,U,275,,0,\N,20,,10,,0,,0.02,,0.5,,0.29,,0.39,,2,U,5,U,5,,10,U,10,U,20,,593,,1390,,0,,0.2,U,10,U,0,
B4870000,2004-09-02,11:00:00,Yes,0.1,23,,7.2,,8,,177,,245,,0,\N,10,,6,,0,,0.02,U,0.2,U,0.19,,0.35,,2,U,5,U,3,,10,U,10,U,10,U,384,,895,,0,,0.2,U,10,U,0,
B4870000,2006-10-18,11:45:00,Yes,0.1,17.2,,6.87,,8.5,,59,,11600,,0,\N,67,,36,,0,,0.02,U,0.34,,0.36,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4870000,2006-11-20,11:29:00,Yes,0.1,9.2,,6.87,,10.8,,111,,67,B4,0,\N,15.8,,1,U,0,,0.02,U,0.38,,0.09,,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4870000,2006-12-28,00:15:00,Yes,0.1,6.4,,6.67,,11.2,,100,,133,B1,0,\N,17,,3,,0,,0.02,U,0.23,,0.25,,0.02,U,2,U,5,U,3,,10,U,10,U,16,,344,,615,,0,,0,,10,U,0,
