Data was downloaded on July 6 2026 2:05 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B4920000/UCFRBA_35,3030003,35.76350,-79.77213,"Deep Riv at SR 2261 Old Liberty Rd nr Central Falls","Randolph","dns Asheboro WWTP; below Hasketts Creek","C",CPF09,yes

Query Results: 
Stations:B4920000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B4920000,2000-04-27,00:00:00,Yes,0,16,,7.2,,7.7,,225,,64,,0,\N,8.4,,11,,0,,0,Z,0,Z,0,Z,0.27,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4920000,2000-05-05,00:00:00,Yes,0,20.4,,7.3,,7,,212,,100,,0,\N,9.2,,10,,0,Z,0,Z,0,Z,0,Z,0.29,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4920000,2000-05-19,00:00:00,Yes,0,25,,7.4,,6.6,,363,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4920000,2000-06-06,00:00:00,Yes,0,23.6,,7.2,,5.8,,323,,110,,0,\N,4.9,,9,,0,Z,0,Z,0,Z,0,Z,0.73,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4920000,2000-06-20,00:00:00,Yes,0,26.2,,7.3,,4.8,,485,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4920000,2000-07-07,00:00:00,Yes,0,26.5,,7.3,,5.9,,274,,380,,0,\N,27,,5,,21,,0,Z,0,Z,0,Z,0.59,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4920000,2000-07-20,00:00:00,Yes,0,28.2,,7.2,,6.5,,592,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4920000,2000-08-03,00:00:00,Yes,0,26,,7.2,,5.9,,462,,390,,0,\N,8.8,,8,,0,,0,Z,0.6,,0,Z,0.74,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B4920000,2000-08-22,00:00:00,Yes,0,25.6,,7.4,,4.9,,521,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B4920000,2000-09-07,00:00:00,Yes,0,21.5,,7.1,,5.8,,169,,550,,0,\N,40,,26,,0,,0,Z,0,Z,0,Z,0.34,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
