Data was downloaded on July 6 2026 2:05 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B5070000/UCFRBA_36,3030003,35.73020,-79.65580,"Deep Riv at SR 2615 Brooklyn Ave at Ramseur","Randolph","ups Ramseur WWTP;","C",CPF09,yes

Query Results: 
Stations:B5070000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B5070000,2000-04-27,00:00:00,Yes,0,16,,7.3,,8.4,,186,,16,,0,\N,9.1,,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2000-05-05,00:00:00,Yes,0,19.8,,7.5,,7.9,,164,,26,,0,\N,12,,7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2000-05-19,00:00:00,Yes,0,24.9,,7.5,,7,,262,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2000-06-06,00:00:00,Yes,0,22.7,,7.3,,7.1,,287,,44,,0,\N,5.8,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2000-06-20,00:00:00,Yes,0,25.9,,7.4,,5.9,,386,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2000-07-07,00:00:00,Yes,0,26.2,,7.1,,6.1,,311,,480,,0,\N,29,,13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2000-07-20,00:00:00,Yes,0,28.5,,7.1,,6.6,,325,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2000-08-03,00:00:00,Yes,0,25,,7.1,,6.2,,253,,110,,0,\N,17,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2000-08-22,00:00:00,Yes,0,25.3,,7.1,,7.9,,327,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2000-09-07,00:00:00,Yes,0,21.3,,7.2,,6.5,,117,,360,,0,\N,39,,14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2000-09-21,00:00:00,Yes,0,21.8,,6.5,,7.5,,143,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2000-10-11,00:00:00,Yes,0,15.4,,7.8,,9.2,,312,,13,,0,\N,8.6,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2000-11-21,00:00:00,Yes,0,8.5,,7.7,,10.3,,389,,25,,0,\N,4.3,,2.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2000-12-06,00:00:00,Yes,0,4.9,,7.6,,11.1,,298,,94,,0,\N,7.3,,1,J2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2001-01-18,00:00:00,Yes,0,6.3,,8.1,,11.7,,344,,25,,0,\N,5.4,,2.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2001-02-16,00:00:00,Yes,0,11.8,,7.6,,8.5,,295,,34,,0,\N,11.2,,6.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2001-03-15,00:00:00,Yes,0,11,,7.8,,8.5,,218,,287,,0,\N,18,,8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2001-04-06,00:00:00,Yes,0,13.2,,7.4,,8.9,,128,,68,,0,\N,32,,9.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2001-04-25,00:00:00,Yes,0,18.3,,7.3,,6.6,,226,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2001-05-11,00:00:00,Yes,0,23,,7.5,,6.9,,301,,60,,0,\N,7.2,,9.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2001-05-30,00:00:00,Yes,0,22.7,,7.5,,7.6,,295,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2001-06-15,00:00:00,Yes,0,25.6,,7.5,,6.5,,271,,400,,0,\N,14,,8.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2001-06-26,00:00:00,Yes,0,26.2,,7.4,,6.1,,274,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2001-07-02,00:00:00,Yes,0,29.9,,7.7,,5,,348,,16,,0,\N,3.5,,3.6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2001-07-10,00:00:00,Yes,0,28.2,,7.2,,6.1,,188,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2001-08-02,00:00:00,Yes,0,25.1,,7.6,,7.2,,413,,96,,0,\N,7,,4.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2001-08-17,00:00:00,Yes,0,28.7,,7,,7,,265,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2001-09-04,00:00:00,Yes,0,24.4,,7.4,,7.7,,351,,78,,0,\N,9.9,,10.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2001-09-19,00:00:00,Yes,0,22.5,,8,,8.7,,409,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2001-10-03,00:00:00,Yes,0,20.4,,7.7,,8.5,,399,,1500,,0,\N,17,,7.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2001-10-12,00:00:00,Yes,0,18.1,,7.8,,9.9,,392,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2001-11-02,00:00:00,Yes,0,16.5,,8.2,,11.8,,599,,13,,0,\N,6.2,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2001-12-14,00:00:00,Yes,0,13.8,,7.1,,8,,370,,68,,0,\N,14,,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2002-01-04,00:00:00,Yes,0,5.6,,7.3,,0,Z,423,,104,,0,\N,5.5,,2.7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2002-02-06,00:00:00,Yes,0,6.6,,7.3,,10.3,,244,,39,B1,0,\N,17,,8.7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2002-03-06,00:00:00,Yes,0,9.5,,7.2,,9.2,,133,,418,,0,\N,35,,19.7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2002-04-03,00:00:00,Yes,0,18.4,,7,,8.6,,182,,5,,0,\N,17,,5.7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2002-05-03,00:00:00,Yes,0,22.3,,7.6,,7.9,,356,,35,B1,0,\N,8.3,,7.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2002-05-21,00:00:00,Yes,0,18.3,,7.4,,8.4,,453,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2002-06-04,00:00:00,Yes,0,28.5,,7.4,,8.1,,505,,200,B4,0,\N,6.6,,7.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2002-06-17,00:00:00,Yes,0,27.2,,7.6,,6.7,,530,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2002-07-02,00:00:00,Yes,0,30.4,,7.2,,4.9,,364,,237,,0,\N,16,,6.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2002-07-17,00:00:00,Yes,0,29.5,,7.5,,7.4,,355,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2002-08-07,00:00:00,Yes,0,29,,8.2,,8.4,,269,,40,,0,\N,11,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2002-08-20,00:00:00,Yes,0,28.9,,7,,7,,427,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2002-09-03,15:18:00,Yes,0.1,23,,7,,7.2,,98,,100,,0,\N,66,,27,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2002-09-18,13:18:00,Yes,0.1,24,,6.9,,6.5,,355,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2002-10-03,14:18:00,Yes,0.1,26,,7.6,,7.5,,321,,58,,0,\N,20,,5.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2002-11-08,15:00:00,Yes,0.1,11,,7.2,,10,,117,,940,,0,\N,34,,13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2002-12-10,15:55:00,Yes,0.1,5.9,,6.8,,13,,123,,1800,,0,\N,20,,6.8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2003-01-07,14:12:00,Yes,0.1,5.5,,7,,11,,130,,12000,B5,0,\N,25,,8.6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2003-02-05,14:38:00,Yes,0.1,6.8,,7.2,,12,,169,,50,,0,\N,19,,9.6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2003-03-11,14:40:00,Yes,0.1,11,,7.3,,10.5,,140,,420,,0,\N,29,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2003-04-14,14:09:00,Yes,0.1,14,,7.2,,10.4,,91,,2000,B4,0,\N,38,,19.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2003-05-08,14:29:00,Yes,0.1,20,,7.1,,7.9,,158,,760,,0,\N,24,,13.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5070000,2003-05-23,00:59:00,Yes,0.1,17,,7.1,,9.2,,96,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
