Data was downloaded on July 6 2026 2:05 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B5100000/UCFRBA_37,3030003,35.67240,-79.62740,"Deep Riv at SR 2628 Hinshaw Town Rd nr Parks Crossroads","Randolph","dns Ramseur WWTP","C",CPF09,yes

Query Results: 
Stations:B5100000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B5100000,2000-04-27,00:00:00,Yes,0,17,,7.2,,8.2,,171,,390,,0,\N,8.4,,4,,0,,0,Z,0,Z,0,Z,0.23,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B5100000,2000-05-05,00:00:00,Yes,0,21,,7.5,,7.5,,150,,44,,0,\N,12,,4,,0,,0,Z,0,Z,0,Z,0.23,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B5100000,2000-05-19,00:00:00,Yes,0,24.3,,7.8,,7.8,,233,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5100000,2000-06-06,00:00:00,Yes,0,23,,7.2,,6.8,,246,,230,,0,\N,5,,4,,0,,0,Z,0,Z,0,Z,0.2,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B5100000,2000-06-20,00:00:00,Yes,0,26.2,,7.4,,5.4,,352,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5100000,2000-07-07,00:00:00,Yes,0,26.4,,7.1,,5.6,,316,,17000,>,0,\N,144,,88,,0,,0,Z,0,Z,0,Z,0.54,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B5100000,2000-07-20,00:00:00,Yes,0,26.6,,7.2,,6.4,,329,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5100000,2000-08-03,00:00:00,Yes,0,26,,7.2,,5.5,,243,,100,,0,\N,17,,2,,0,,0,Z,0.4,,0,Z,0.31,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B5100000,2000-08-22,00:00:00,Yes,0,23.8,,7.5,,7.2,,314,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5100000,2000-09-07,00:00:00,Yes,0,21.2,,7.2,,6.3,,112,,94,,0,\N,36,,10,,0,,0,Z,0,Z,0,Z,0.22,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B5100000,2000-09-21,00:00:00,Yes,0,21.2,,6.9,,7,,172,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5100000,2000-10-11,00:00:00,Yes,0,13.7,,7.5,,8.7,,261,,39,,0,\N,8.6,,1,<,0,,0.09,,0.2,,0,Z,0.25,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B5100000,2000-11-21,00:00:00,Yes,0,8,,7.8,,10.8,,402,,114,,0,\N,4.1,,1.5,,0,,0.03,,1.1,,3.28,,0.71,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B5100000,2000-12-06,00:00:00,Yes,0,3.9,,7.7,,11.3,,272,,42,,0,\N,5.7,,1.5,J2,0,,0.03,,0.4,,2.69,,0.41,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B5100000,2001-01-18,00:00:00,Yes,0,6.1,,8.1,,12.1,,296,,96,,0,\N,5.4,,1,,0,,1.2,,2,,2.52,,0.49,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B5100000,2001-02-16,00:00:00,Yes,0,12.4,,7.7,,8.3,,294,,150,,0,\N,11,,5.5,,0,,0.81,,1.7,,2.5,,0.35,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B5100000,2001-03-15,00:00:00,Yes,0,12,,7.9,,8.5,,205,,120,,0,\N,15,,6,,0,,0.08,,0.7,,1.7,,0.25,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B5100000,2001-04-06,00:00:00,Yes,0,14.1,,7.4,,8.7,,129,,84,,0,\N,28,,9,,0,,0.16,,0.8,,1.1,,0.16,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B5100000,2001-04-25,00:00:00,Yes,0,18.5,,7.3,,6.1,,230,,0,,0,\N,0,,0,,0,,0.05,,0.8,,1.4,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5100000,2001-05-11,00:00:00,Yes,0,22.4,,7.5,,7.3,,265,,70,,0,\N,3.6,,1.5,,0,,0.06,,0.7,,1.4,,0.28,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B5100000,2001-05-30,00:00:00,Yes,0,22.1,,7.1,,7.4,,291,,0,,0,\N,0,,0,,0,,0.06,,0.8,,1.7,,0.73,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5100000,2001-06-15,00:00:00,Yes,0,25.1,,7.4,,6.1,,210,,5800,,0,\N,30,,17.2,,0,,0.05,,0.7,,1.45,,0.38,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B5100000,2001-06-26,00:00:00,Yes,0,25.1,,7.4,,5.8,,256,,0,,0,\N,0,,0,,0,,0.08,,0.8,,1.99,,0.41,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5100000,2001-07-02,00:00:00,Yes,0,28,,7.7,,8,,296,,16,,0,\N,3.8,,2.8,,0,,0.04,,0.6,,1.8,,0.48,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
