Data was downloaded on July 6 2026 2:05 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B5390800/UCFRBA_39,3030003,35.37820,-79.75510,"Cotton Crk at SR 1372 Auman Rd nr Star","Montgomery","dns Starr WWTP","WS-III",CPF10,yes

Query Results: 
Stations:B5390800	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B5390800,2000-04-28,00:00:00,Yes,0,14,,7.3,,5.1,,1501,,540,,0,\N,6.5,,10,,0,,0,Z,0,Z,0,Z,0.95,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B5390800,2000-05-08,00:00:00,Yes,0,18,,7.2,,3.8,,704,,110,,0,\N,6.1,,4,,0,,0,Z,0,Z,0,Z,0.94,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B5390800,2000-05-22,00:00:00,Yes,0,19.7,,7.2,,4,,733,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5390800,2000-06-07,00:00:00,Yes,0,18.2,,7.7,,5.8,,1656,,530,,0,\N,5.7,,10,,0,,0,Z,0,Z,0,Z,1.81,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B5390800,2000-06-21,00:00:00,Yes,0,23.2,,7.6,,4,,2036,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5390800,2000-07-10,00:00:00,Yes,0,23.5,,7.7,,5.2,,1655,,5800,,0,\N,5.6,,2,,0,,0,Z,0,Z,0,Z,2.12,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B5390800,2000-07-21,00:00:00,Yes,0,22.4,,7.7,,5.1,,2598,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5390800,2000-08-04,00:00:00,Yes,0,24,,7.9,,5.1,,2537,,4800,,0,\N,7.2,,3,,0,,0,Z,2,,0,Z,3.57,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B5390800,2000-08-23,00:00:00,Yes,0,20,,7.7,,4.8,,2275,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5390800,2000-09-08,00:00:00,Yes,0,21.5,,7.1,,5.6,,1816,,4500,,0,\N,2.6,,19,,0,,0,Z,0,Z,0,Z,1.57,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B5390800,2000-09-22,00:00:00,Yes,0,21.3,,7.8,,5.6,,2482,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5390800,2000-10-12,00:00:00,Yes,0,11.1,,7.9,,8,,2345,,460,,0,\N,1.5,,4,,0,,0.04,,1.9,,0,Z,4.41,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B5390800,2000-11-22,00:00:00,Yes,0,3.2,,7.9,,8.9,,2450,,5200,,0,\N,5.7,,3,,0,,0.12,,1.9,,4.75,,3.26,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
