Data was downloaded on July 6 2026 2:05 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B5520000/UCFRBA_38,3030003,35.47770,-79.51950,"Deep Riv at NC 22 at High Falls","Moore","dns Robbins WWTP","C HQW",CPF10,no

Query Results: 
Stations:B5520000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B5520000,2000-04-28,00:00:00,Yes,0,16,,7.3,,8.3,,118,,34,,0,\N,16,,6.5,,0,,0,Z,0,Z,0,Z,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2000-05-08,00:00:00,Yes,0,22.6,,7.7,,8.4,,116,,13,,0,\N,7.6,,9,,0,,0,Z,0,Z,0,Z,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2000-06-07,00:00:00,Yes,0,22.8,,7.5,,7.4,,197,,23,,0,\N,2.4,,4,,0,,0,Z,0,Z,0,Z,0.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2000-07-10,00:00:00,Yes,0,27.7,,7.4,,6.7,,295,,22,,0,\N,2.1,,1,<,0,,0,Z,0,Z,0,Z,0.32,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2000-08-04,00:00:00,Yes,0,27,,7.4,,6.5,,146,,320,,0,\N,21,,7,,0,,0,Z,0.4,,0,Z,0.24,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2000-09-08,00:00:00,Yes,0,22.8,,6.5,,6.5,,136,,72,,0,\N,23,,11,,0,,0,Z,0,Z,0,Z,0.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2000-10-12,00:00:00,Yes,0,15.7,,7.9,,9.2,,173,,250,,0,\N,0.4,<,1,,0,,0.01,,0.3,,0,Z,0.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2000-11-22,00:00:00,Yes,0,6,,8,,10.9,,386,,62,,0,\N,1.9,,3,,0,,0.01,,0.6,,2.65,,0.29,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2000-12-07,00:00:00,Yes,0,4.5,,7.7,,12.1,,458,,19,,0,\N,2.4,,1,,0,,0.01,<,0.4,,1.76,,0.27,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2001-01-19,00:00:00,Yes,0,7.6,,8.6,,12,,276,,20,,0,\N,6.3,,5.5,,0,,0.09,,0.9,,1.85,,0.18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2001-02-19,00:00:00,Yes,0,8.9,,7.1,,10.3,,124,,5800,,0,\N,240,,49.5,,0,,0.14,,1.3,,0.84,,0.25,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2001-03-16,00:00:00,Yes,0,12,,7.6,,9.8,,182,,56,,0,\N,16,,7,,0,,0.03,,0.8,,1.1,,0.17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2001-04-09,00:00:00,Yes,0,21.6,,7.5,,8.5,,128,,82,,0,\N,18,,5,,0,,0.04,,0.7,,0.84,,0.17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2001-04-26,00:00:00,Yes,0,0,,0,,0,,0,,0,,0,\N,0,,0,,0,,0.05,,0.6,,0.54,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2001-05-14,00:00:00,Yes,0,23.4,,7.6,,7.9,,230,,64,,0,\N,2.9,,2,,0,,0.06,,0.7,,0.8,,0.19,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Z,0,,0,
B5520000,2001-05-31,00:00:00,Yes,0,0,,0,,0,,0,,0,,0,\N,0,,0,,0,,0.63,,0.7,,1.7,,0.4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2001-06-18,00:00:00,Yes,0,25.4,,7.1,,6.2,,125,,50,,0,\N,9,,19.2,,0,,0.04,,0.6,,0.58,,0.27,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2001-06-27,00:00:00,Yes,0,0,,0,,0,,0,,0,,0,\N,0,,0,,0,,0.03,,0.9,,0.69,,0.35,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2001-07-03,00:00:00,Yes,0,26.4,,7.6,,6.6,,182,,74,,0,\N,9.4,,3.4,,0,,0.03,,0.7,,0.9,,0.26,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2001-07-11,00:00:00,Yes,0,0,,0,,0,,0,,0,,0,\N,0,,0,,0,,0.03,,0.7,,1.17,,0.23,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2001-08-02,00:00:00,Yes,0,24.9,,7.6,,7.5,,314,,44,,0,\N,2.4,,2,,0,,0.03,,0.5,,1.06,,0.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2001-08-17,00:00:00,Yes,0,28.2,,7.6,,7.5,,290,,0,,0,\N,0,,0,,0,,0.03,,0.1,<,1.09,,0.36,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2001-09-04,00:00:00,Yes,0,24.6,,7.4,,6.1,,254,,1200,>,0,\N,3.6,,4,,0,,0.08,,0.6,,0.92,,0.23,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2001-09-19,00:00:00,Yes,0,0,,0,,0,,0,,0,,0,\N,0,,0,,0,,0.09,,0.5,,0.67,,0.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2001-10-04,00:00:00,Yes,0,19.1,,7.5,,8.9,,447,,54,,0,\N,3.2,,4.5,,0,,0.02,,0.5,,3.01,,0.32,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2001-10-16,00:00:00,Yes,0,0,,0,,0,,0,,0,,0,\N,0,,0,,0,,0.01,,0.6,,1.86,,0.36,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5520000,2001-11-02,00:00:00,Yes,0,14.7,,7.4,,8.5,,409,,36,,0,\N,1.6,,1,<,0,,0.09,,0.4,,1.39,,0.29,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
