Data was downloaded on July 6 2026 2:05 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B5575000/UCFRBA_40,3030003,35.52004,-79.34854,"DEEP RIV AT NC 42 AT CARBONTON","Chatham","","WS-IV",CPF10,no

Query Results: 
Stations:B5575000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B5575000,2000-04-28,00:00:00,Yes,0,15,,6.8,,7,,104,,76,,0,\N,12,,6,,0,,0,Z,0,Z,0,Z,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5575000,2000-05-08,00:00:00,Yes,0,22.3,,6.9,,5.8,,99,,16,,0,\N,9.3,,8.7,,0,Z,0,Z,0,Z,0,Z,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5575000,2000-06-07,00:00:00,Yes,0,24,,6.5,,4.9,,190,,24,,0,\N,2.9,,4,,0,Z,0,Z,0,Z,0,Z,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5575000,2000-07-10,00:00:00,Yes,0,28,,8.5,,11.3,,290,,80,,0,\N,2,,18,,124.1,,0,Z,0,Z,0,Z,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5575000,2000-08-04,00:00:00,Yes,0,26,,6.8,,3.7,,123,,520,,0,\N,30,,4,,0,,0,Z,0.7,,0,Z,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5575000,2000-09-08,00:00:00,Yes,0,23.2,,6.6,,4.4,,113,,18,,0,\N,34,,10,,2.5,,0,Z,0,Z,0,Z,0.19,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5575000,2000-10-12,00:00:00,Yes,0,16.7,,6.7,,4.6,,111,,30,,0,\N,2.6,,7,,0,,0.07,,0.4,,0,Z,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5575000,2000-11-22,00:00:00,Yes,0,8.4,,7.6,,6.8,,387,,96,,0,\N,3.2,,2,,0,,0.09,,0.8,,1.43,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5575000,2000-12-07,00:00:00,Yes,0,6,,7,,9.7,,294,,31,,0,\N,4.5,,7,,0,,0.04,,0.4,,1.71,,0.32,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5575000,2001-01-19,00:00:00,Yes,0,4.9,,8,,13.3,,198,,9,,0,\N,11.1,,8.5,,48.8,,0.16,,0.9,,0.17,,0.24,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
