Data was downloaded on July 6 2026 2:05 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B5685000/UCFRBA_41,3030003,35.57040,-79.24110,"Deep Riv at Deep River Park Bridge nr Cumnock","Chatham","ups Golden Poultry","C",CPF11,yes

Query Results: 
Stations:B5685000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B5685000,2000-04-28,00:00:00,Yes,0,16,,6.9,,7,,95,,46,,0,\N,9.7,,4.7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2000-05-08,00:00:00,Yes,0,21.6,,6.8,,6,,98,,50,,0,\N,11,,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2000-05-22,00:00:00,Yes,0,24.7,,7,,5.5,,131,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2000-06-07,00:00:00,Yes,0,22.9,,6.8,,5.7,,193,,46,,0,\N,3.5,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2000-06-21,00:00:00,Yes,0,26.9,,6.7,,4.6,,185,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2000-07-10,00:00:00,Yes,0,27.9,,7,,5.7,,265,,44,,0,\N,2.8,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2000-07-21,00:00:00,Yes,0,26.9,,6.7,,5.9,,347,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2000-08-04,00:00:00,Yes,0,25,,6.6,,4.4,,108,,6000,>,0,\N,130,,61,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2000-08-23,00:00:00,Yes,0,24.2,,7.2,,6.3,,188,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2000-09-08,00:00:00,Yes,0,23,,6.9,,5.8,,111,,13,,0,\N,34,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2000-09-22,00:00:00,Yes,0,21.9,,7.1,,5.8,,273,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2000-10-12,00:00:00,Yes,0,13.8,,6.9,,6.8,,107,,26,,0,\N,2,,1,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2000-11-22,00:00:00,Yes,0,6.8,,7.4,,9.6,,338,,76,,0,\N,1.9,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2000-12-07,00:00:00,Yes,0,6.2,,7.3,,11.2,,323,,42,,0,\N,3.7,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2001-01-19,00:00:00,Yes,0,5.6,,7.2,,12.5,,218,,24,,0,\N,10.4,,7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2001-02-19,00:00:00,Yes,0,9.9,,6.8,,9.5,,134,,9200,,0,\N,120,,72,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2001-03-16,00:00:00,Yes,0,11,,7.1,,8.9,,122,,94,,0,\N,22,,9,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2001-04-09,00:00:00,Yes,0,18.3,,7.1,,8.1,,102,,52,,0,\N,19,,5.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2001-04-26,00:00:00,Yes,0,16.2,,7.1,,7.2,,141,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2001-05-14,00:00:00,Yes,0,22.2,,7.2,,6.9,,182,,240,,0,\N,2.5,,1,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2001-05-31,00:00:00,Yes,0,23.1,,6.7,,5.3,,223,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2001-06-18,00:00:00,Yes,0,25,,6.8,,4.4,,135,,540,,0,\N,9.4,,11.7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2001-06-27,00:00:00,Yes,0,25.2,,6.6,,5.1,,114,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2001-07-03,00:00:00,Yes,0,26.6,,7,,4.7,,112,,52,,0,\N,5.9,,5.7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2001-07-11,00:00:00,Yes,0,26.9,,6.9,,4.4,,126,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2001-08-02,00:00:00,Yes,0,24.5,,7.1,,5.5,,153,,38,,0,\N,4,,2.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2001-08-17,00:00:00,Yes,0,27.6,,7.3,,4.7,,333,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2001-09-04,00:00:00,Yes,0,24.7,,7,,4.8,,141,,2,<,0,\N,5,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2001-09-19,00:00:00,Yes,0,21.2,,7.3,,6.5,,165,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2001-10-04,00:00:00,Yes,0,18.7,,7.2,,6.7,,254,,25,,0,\N,3.2,,5.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2001-10-16,00:00:00,Yes,0,18.1,,6.8,,4.7,,197,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2001-11-02,00:00:00,Yes,0,14.9,,7.2,,8.5,,285,,4,,0,\N,2.5,,1.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2001-12-14,00:00:00,Yes,0,13,,7.2,,7.7,,446,,52,,0,\N,3.4,,4.8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2002-01-04,00:00:00,Yes,0,2.6,,7.2,,11.2,,323,,2,B2,0,\N,3.9,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2002-02-07,00:00:00,Yes,0,8.5,,7.2,,8.8,,116,,48,,0,\N,17,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2002-03-07,00:00:00,Yes,0,9.3,,7.3,,10.2,,209,,24,B1,0,\N,10,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2002-04-04,00:00:00,Yes,0,15.5,,6.6,,8,,88,,19,,0,\N,22,,15.8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2002-05-03,00:00:00,Yes,0,22.6,,6.7,,5.8,,165,,6,B1,0,\N,3.4,,3.8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2002-05-21,00:00:00,Yes,0,18.3,,7.2,,8.3,,226,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2002-06-04,00:00:00,Yes,0,28.1,,7.1,,5.1,,242,,30,B1,0,\N,3.4,,2.5,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2002-06-17,00:00:00,Yes,0,27.7,,7,,7.6,,313,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2002-07-02,00:00:00,Yes,0,27.5,,6.8,,4.3,,327,,243,,0,\N,2.9,,1.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2002-07-15,00:00:00,Yes,0,25.5,,7.1,,6,,411,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2002-08-08,00:00:00,Yes,0,26.5,,7,,6.2,,326,,28,,0,\N,1.7,,1.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2002-08-20,00:00:00,Yes,0,27.8,,6.8,,5.1,,306,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2002-09-04,00:28:00,Yes,0.1,24,,6.4,,6.4,,103,,1800,B4,0,\N,37,,12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2002-09-19,00:58:00,Yes,0.1,24,,6.3,,5.7,,121,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2002-10-04,00:32:00,Yes,0.1,25,,6.9,,5.7,,174,,35,B1,0,\N,3,,1.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2002-11-08,13:00:00,Yes,0.1,13,,6.3,,8.9,,123,,1200,B4,0,\N,29,,20,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2002-12-18,14:35:00,Yes,0.1,6.9,,5.8,,11,,90,,136,,0,\N,25,,9.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2003-01-08,00:06:00,Yes,0.1,6.8,,7.2,,11,,101,,135,,0,\N,22,,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5685000,2003-02-03,13:25:00,Yes,0.1,4.5,,7.3,,14,,154,,1080,,0,\N,38,,19,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
