Data was downloaded on July 6 2026 2:05 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B5820000/UCFRBA_42,3030003,35.57820,-79.19420,"Deep Riv at US 15 And 501 nr Sanford","Lee","dns Sanford WWTP","C",CPF11,yes

Query Results: 
Stations:B5820000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B5820000,2000-04-28,00:00:00,Yes,0,16,,6.9,,7.1,,104,,110,,0,\N,8.7,,4.5,,0,,0,Z,0,Z,0,Z,0.27,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B5820000,2000-05-08,00:00:00,Yes,0,22.1,,6.8,,6.1,,108,,21,,0,\N,12,,8,,0,,0,Z,0,Z,0,Z,0.19,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B5820000,2000-05-22,00:00:00,Yes,0,24.9,,7.1,,5.2,,142,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5820000,2000-06-07,00:00:00,Yes,0,22.5,,6.7,,4.9,,209,,15,,0,\N,3,,4,,0,,0,Z,0,Z,0,Z,0.29,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B5820000,2000-06-21,00:00:00,Yes,0,27.4,,6.7,,4.5,,209,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5820000,2000-07-10,00:00:00,Yes,0,27.2,,7,,4.7,,270,,58,,0,\N,4.5,,3,,0,,0,Z,0,Z,0,Z,0.36,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B5820000,2000-07-21,00:00:00,Yes,0,26.6,,6.8,,4.9,,360,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5820000,2000-08-04,00:00:00,Yes,0,26,,6.6,,4.7,,159,,530,,0,\N,41,,12,,0,,0,Z,0.6,,0,Z,0.3,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B5820000,2000-08-23,00:00:00,Yes,0,24.1,,7.1,,6,,216,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5820000,2000-09-08,00:00:00,Yes,0,23.5,,6.3,,5.3,,124,,20,,0,\N,31,,10,,0,,0,Z,0,Z,0,Z,0.33,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
