Data was downloaded on July 6 2026 2:05 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B5890000/UCFRBA_45,3030002,35.72890,-79.42890,"Loves Creek at Waste Management Plant Rd in Siler City","Chatham","us Siler City WWTP","C",CPF12,yes

Query Results: 
Stations:B5890000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B5890000,2009-04-23,09:12:00,Yes,0.1,12.1,,6.89,,9.1,,150,,25,,0,\N,8,,6,,0,,0.02,U,0.35,,0.38,,0.034,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5890000,2009-05-12,11:24:00,Yes,0.1,15.5,,7.09,,7.2,,186,,76,,0,\N,3,,4,,0,,0.02,U,0.55,,5.27,,0.321,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5890000,2009-05-28,09:25:00,Yes,0.1,20.9,,6.59,,6.6,,163,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5890000,2009-06-02,10:48:00,Yes,0.1,20.9,,6.75,,6.8,,191,,171,B4,0,\N,5.6,,1,U,0,,0.02,U,0.44,,0.59,,0.071,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5890000,2009-06-29,18:00:00,Yes,0.1,23.4,,6.56,,4.5,,211,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5890000,2009-07-13,11:31:00,Yes,0.1,21.9,,6.67,,6.5,,275,,12000,B5,0,\N,236,,233,,0,,0.74,,1.71,,0.57,,0.547,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5890000,2009-07-30,15:43:00,Yes,0.1,24.4,,7.14,,6.5,,174,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5890000,2009-08-04,10:44:00,Yes,0.1,22.6,,7.07,,4.7,,199,,200,,0,\N,4,,3,,0,,0.02,U,0.2,U,0.41,,0,Z2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5890000,2009-08-14,17:41:00,Yes,0.1,28,,6.22,,7,,1056,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5890000,2009-09-04,15:04:00,Yes,0.1,19,,6.55,,5.7,,144,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5890000,2009-09-17,09:24:00,Yes,0.1,20.3,,6.91,,4.4,,173,,230,,0,\N,4,,6,,0,,0.02,U,0.42,,0.18,,0,Z2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5890000,2009-10-20,10:11:00,Yes,0.1,8.9,,6.5,,8.2,,191,,21,,0,\N,3.3,,1,,0,,0.02,U,0.2,U,0.14,,0,Z2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5890000,2009-11-30,10:00:00,Yes,0.1,9.4,,6.84,,10.4,,167,,42,,0,\N,8.9,,2,,0,,0.02,U,0.5,,0.55,,0,Z2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
