Data was downloaded on July 6 2026 2:05 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B5920000/UCFRBA_46,3030002,35.73220,-79.42460,"Loves Creek at Progress Blvd at Siler City","Chatham","ds Siler City WWTP","C",CPF12,yes

Query Results: 
Stations:B5920000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B5920000,2009-04-23,09:47:00,Yes,0.1,15.5,,7.36,,8.3,,624,,124,,0,\N,3.9,,6,,0,,0.02,U,0.36,,19.9,,0.108,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5920000,2009-05-12,11:38:00,Yes,0.1,20.5,,7.42,,7.8,,696,,34,,0,\N,7.3,,4,,0,,0.02,U,0.53,,0.79,,0.074,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5920000,2009-05-28,09:34:00,Yes,0.1,23.5,,7.32,,7.9,,827,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5920000,2009-06-02,11:02:00,Yes,0.1,24.4,,7.53,,7.4,,886,,340,,0,\N,2.4,,1,U,0,,0.02,U,0.2,U,28.6,,0.274,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5920000,2009-06-29,17:51:00,Yes,0.1,27.9,,6.49,,6.6,,826,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5920000,2009-07-13,11:43:00,Yes,0.1,22.1,,6.78,,7,,310,,12000,B5,0,\N,245,,213,,0,,0.58,,1.35,,1.18,,0.576,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5920000,2009-07-30,15:33:00,Yes,0.1,28.3,,7.56,,7.3,,939,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5920000,2009-08-04,10:54:00,Yes,0.1,27.5,,7.51,,7.2,,960,,162,B4,0,\N,0.74,,2,,0,,0.05,,0.2,U,34.6,,0,Z2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5920000,2009-08-14,17:50:00,Yes,0.1,23.3,,6.96,,5.6,,214,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5920000,2009-09-04,14:55:00,Yes,0.1,25.9,,7.45,,7.2,,1106,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
