Data was downloaded on July 6 2026 2:05 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B5950000/UCFRBA_43,3030003,35.73510,-79.42330,"Rocky Riv at US 64 nr Siler City","Chatham","dns reservoir; ups Siler City WWTP","C",CPF11,yes

Query Results: 
Stations:B5950000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B5950000,2000-04-28,00:00:00,Yes,0,15,,6.8,,7.2,,82,,110,,0,\N,9.7,,3.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5950000,2000-05-08,00:00:00,Yes,0,22.2,,7.2,,7.6,,88,,5,,0,\N,4.5,,9,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5950000,2000-05-22,00:00:00,Yes,0,20.1,,6.9,,7.1,,84,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5950000,2000-06-07,00:00:00,Yes,0,22.9,,6.9,,5.3,,87,,28,,0,\N,2.1,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5950000,2000-06-21,00:00:00,Yes,0,27.5,,6.9,,5.6,,124,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5950000,2000-07-10,00:00:00,Yes,0,29.5,,6.9,,4.8,,128,,98,,0,\N,4,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5950000,2000-07-21,00:00:00,Yes,0,25.5,,6.8,,6.8,,135,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5950000,2000-08-04,00:00:00,Yes,0,27,,7.1,,6.6,,104,,46,,0,\N,5.7,,1,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5950000,2000-08-23,00:00:00,Yes,0,24.8,,7.1,,7.2,,126,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5950000,2000-09-08,00:00:00,Yes,0,24.4,,6.5,,5.9,,91,,18,,0,\N,3.4,,7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5950000,2000-09-22,00:00:00,Yes,0,21.4,,7.2,,7.1,,104,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5950000,2000-10-12,00:00:00,Yes,0,15.8,,7,,7.4,,102,,110,,0,\N,0.5,,1,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5950000,2000-11-22,00:00:00,Yes,0,5.5,,7.6,,10.8,,129,,150,,0,\N,8.5,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5950000,2000-12-07,00:00:00,Yes,0,7,,7.7,,13.6,,134,,60,,0,\N,3.3,,3.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5950000,2001-01-19,00:00:00,Yes,0,9,,7.5,,10.9,,117,,52,,0,\N,6.5,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5950000,2001-02-19,00:00:00,Yes,0,9.4,,7.5,,10,,109,,1180,,0,\N,26,,13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5950000,2001-03-16,00:00:00,Yes,0,11,,7.6,,9.5,,110,,52,,0,\N,24,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
