Data was downloaded on July 6 2026 2:05 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B5980000/UCFRBA_44,3030003,35.69850,-79.37560,"Rocky Riv at SR 2170 Rives Chapel Rd nr Siler City","Chatham","dns Siler City WWTP","C",CPF11,yes

Query Results: 
Stations:B5980000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B5980000,2000-04-28,00:00:00,Yes,0,14,,7.1,,7.5,,168,,150,,0,\N,8.4,,5,,0,,0,Z,0,Z,0,Z,0.11,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B5980000,2000-05-08,00:00:00,Yes,0,22.9,,7.2,,6,,237,,70,,0,\N,3.2,,8,,0,,0,Z,0,Z,0,Z,0.08,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B5980000,2000-05-22,00:00:00,Yes,0,21.5,,6.9,,6.2,,119,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5980000,2000-06-07,00:00:00,Yes,0,21.2,,7,,5.8,,302,,350,,0,\N,3.4,,7,,0,,0,Z,0,Z,0,Z,0.1,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B5980000,2000-06-21,00:00:00,Yes,0,25.3,,7.1,,4.4,,422,,0,,0,\N,0,,0,,0,,0,,0,,0,Z,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5980000,2000-07-10,00:00:00,Yes,0,26.8,,7.3,,6.2,,701,,92,,0,\N,1.4,,1,,0,,0,Z,0,Z,0,Z,0.23,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B5980000,2000-07-21,00:00:00,Yes,0,25.1,,7.1,,5.6,,729,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5980000,2000-08-04,00:00:00,Yes,0,26,,7.2,,5.1,,511,,210,,0,\N,3.3,,3,,0,,0,Z,0.8,,0,Z,0.17,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B5980000,2000-08-23,00:00:00,Yes,0,22.6,,7.6,,7.5,,804,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B5980000,2000-09-08,00:00:00,Yes,0,22,,7.4,,6,,184,,44,,0,\N,3.2,,4,,0,,0,Z,0,Z,0,Z,0.12,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
