Data was downloaded on July 6 2026 2:04 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B6040300/UCFRBA_27,3030003,35.61760,-79.09120,"Deep Riv at SR 1011 Old US 1 nr Moncure","Chatham","ups of confluence with Haw River; DWQ ambient stn","WS-IV",CPF11,yes

Query Results: 
Stations:B6040300	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B6040300,2000-04-26,00:00:00,Yes,0,16,,6.8,,8.3,,95,,26,,0,\N,8.9,,5,,0,,0,Z,0,Z,0,Z,0.15,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B6040300,2000-05-04,00:00:00,Yes,0,17.6,,7,,7.2,,95,,6,,0,\N,20,,8.5,,0,,0,Z,0,Z,0,Z,0.23,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B6040300,2000-06-05,00:00:00,Yes,0,24.3,,7,,6.3,,195,,90,,0,\N,2.1,,1,,0,,0,Z,0,Z,0,Z,0.25,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B6040300,2000-07-06,00:00:00,Yes,0,28.1,,7.4,,6,,243,,96,,0,\N,1.6,,2,,0,,0,Z,0,Z,0,Z,0.29,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B6040300,2000-08-02,00:00:00,Yes,0,26.3,,6.9,,6.6,,329,,230,,0,\N,5.6,,4,,0,,0,Z,0.4,,0,Z,0.46,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B6040300,2000-09-06,00:00:00,Yes,0,21.9,,6.9,,6.5,,131,,470,,0,\N,28,,24,,0,,0,Z,0,Z,0,Z,0.33,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B6040300,2000-10-10,00:00:00,Yes,0,14.4,,7.2,,7.4,,139,,18,,0,\N,13,,13,,0,,0,Z,0.4,,0,Z,0.39,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B6040300,2000-11-20,00:00:00,Yes,0,7.9,,7.7,,9,,299,,94,,0,\N,1.6,,6,,0,,0.01,<,0.5,,1.12,,0.64,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B6040300,2000-12-05,00:00:00,Yes,0,4.4,,7.2,,11.4,,317,,8,,0,\N,3.1,,1.5,,0,,0.02,,0.5,,1.83,,0.27,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
B6040300,2001-01-17,00:00:00,Yes,0,5.8,,7.4,,11.7,,222,,8,,0,\N,12.4,,5.5,,0,,0.03,,0.9,,2.2,Q2,0.58,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,
